ID,Target_Form_ID,Source_Form_ID,Comment,Source
1-0_carpenter,EAH-0_carpenter-1,EAH-0_carpenter-1,,wot
2-0_carpenter,EAH-0_carpenter-1,WOT-0_carpenter-1,,wot
3-1_cannoncatapult,EAH-1_cannoncatapult-1,EAH-1_cannoncatapult-1,,wot
4-1_cannoncatapult,EAH-1_cannoncatapult-1,WOT-1_cannoncatapult-1,,wot
5-2_tofondlepetcaress,EAH-2_tofondlepetcaress-1,EAH-2_tofondlepetcaress-1,,wot
6-2_tofondlepetcaress,EAH-2_tofondlepetcaress-1,WOT-2_tofondlepetcaress-1,,wot
7-5_falseimitation,EAH-5_falseimitation-1,EAH-5_falseimitation-1,,wot
8-5_falseimitation,EAH-5_falseimitation-1,WOT-5_falseimitation-1,,wot
9-9_piedofananimalscoat,EAH-9_piedofananimalscoat-1,EAH-9_piedofananimalscoat-1,,wot
10-9_piedofananimalscoat,EAH-9_piedofananimalscoat-1,WOT-9_piedofananimalscoat-1,,wot
11-9_piedofananimalscoat,EAH-9_piedofananimalscoat-2,EAH-9_piedofananimalscoat-2,,wot
12-9_piedofananimalscoat,EAH-9_piedofananimalscoat-2,WOT-9_piedofananimalscoat-2,,wot
13-9_piedofananimalscoat,EAH-9_piedofananimalscoat-3,EAH-9_piedofananimalscoat-3,,wot
14-9_piedofananimalscoat,EAH-9_piedofananimalscoat-3,WOT-9_piedofananimalscoat-3,,wot
15-9_piedofananimalscoat,EAH-9_piedofananimalscoat-4,EAH-9_piedofananimalscoat-4,,wot
16-9_piedofananimalscoat,EAH-9_piedofananimalscoat-4,WOT-9_piedofananimalscoat-4,,wot
17-10_apple,EAH-10_apple-1,EAH-10_apple-1,,wot
18-10_apple,EAH-10_apple-1,WOT-10_apple-1,,wot
19-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-1,EAH-12_barrelwoodencontainerandstandardquantity-1,,wot
20-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-1,WOT-12_barrelwoodencontainerandstandardquantity-1,,wot
21-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-2,EAH-12_barrelwoodencontainerandstandardquantity-2,,wot
22-12_barrelwoodencontainerandstandardquantity,EAH-12_barrelwoodencontainerandstandardquantity-2,WOT-12_barrelwoodencontainerandstandardquantity-2,,wot
23-13_tonursetakecareof,EAH-13_tonursetakecareof-1,EAH-13_tonursetakecareof-1,,wot
24-13_tonursetakecareof,EAH-13_tonursetakecareof-1,WOT-13_tonursetakecareof-1,,wot
25-14_todecayputrifyturnstale,EAH-14_todecayputrifyturnstale-1,EAH-14_todecayputrifyturnstale-1,,wot
26-14_todecayputrifyturnstale,EAH-14_todecayputrifyturnstale-1,WOT-14_todecayputrifyturnstale-1,,wot
27-15_smalltiny,EAH-15_smalltiny-1,EAH-15_smalltiny-1,,wot
28-15_smalltiny,EAH-15_smalltiny-1,WOT-15_smalltiny-1,,wot
29-17_tomow,EAH-17_tomow-1,EAH-17_tomow-1,,wot
30-17_tomow,EAH-17_tomow-1,WOT-17_tomow-1,,wot
31-17_tomow,EAH-17_tomow-2,EAH-17_tomow-2,,wot
32-17_tomow,EAH-17_tomow-2,WOT-17_tomow-2,,wot
33-18_todecayputrefygobadoffoodwater,EAH-18_todecayputrefygobadoffoodwater-1,EAH-18_todecayputrefygobadoffoodwater-1,,wot
34-18_todecayputrefygobadoffoodwater,EAH-18_todecayputrefygobadoffoodwater-1,WOT-18_todecayputrefygobadoffoodwater-1,,wot
35-19_toharm,EAH-19_toharm-1,EAH-19_toharm-1,,wot
36-19_toharm,EAH-19_toharm-1,WOT-19_toharm-1,,wot
37-20_atypeoflasso,EAH-20_atypeoflasso-1,EAH-20_atypeoflasso-1,,wot
38-21_ditchcanal,EAH-21_ditchcanal-1,EAH-21_ditchcanal-1,,wot
39-21_ditchcanal,EAH-21_ditchcanal-1,WOT-21_ditchcanal-1,,wot
40-22_barleyhordeum,EAH-22_barleyhordeum-1,EAH-22_barleyhordeum-1,,wot
41-22_barleyhordeum,EAH-22_barleyhordeum-1,WOT-22_barleyhordeum-1,,wot
42-23_barrow,EAH-23_barrow-1,EAH-23_barrow-1,,wot
43-23_barrow,EAH-23_barrow-1,WOT-23_barrow-1,,wot
44-24_gauntrygantryforsupportingbarrels,EAH-24_gauntrygantryforsupportingbarrels-1,EAH-24_gauntrygantryforsupportingbarrels-1,,wot
45-24_gauntrygantryforsupportingbarrels,EAH-24_gauntrygantryforsupportingbarrels-1,WOT-24_gauntrygantryforsupportingbarrels-1,,wot
46-25_charm,EAH-25_charm-1,EAH-25_charm-1,,wot
47-25_charm,EAH-25_charm-1,WOT-25_charm-1,,wot
48-26_soggyplacemoorswampmarsh,EAH-26_soggyplacemoorswampmarsh-1,EAH-26_soggyplacemoorswampmarsh-1,,wot
49-26_soggyplacemoorswampmarsh,EAH-26_soggyplacemoorswampmarsh-1,WOT-26_soggyplacemoorswampmarsh-1,,wot
50-27_hatchetaxe,EAH-27_hatchetaxe-1,EAH-27_hatchetaxe-1,,wot
51-27_hatchetaxe,EAH-27_hatchetaxe-1,WOT-27_hatchetaxe-1,,wot
52-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson,EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,,wot
53-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson,EAH-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,WOT-28_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,,wot
54-30_toregrettobesorry,EAH-30_toregrettobesorry-1,EAH-30_toregrettobesorry-1,,wot
55-30_toregrettobesorry,EAH-30_toregrettobesorry-1,WOT-30_toregrettobesorry-1,,wot
56-31_hairybushyofdogsabighairydogasnoun,EAH-31_hairybushyofdogsabighairydogasnoun-1,EAH-31_hairybushyofdogsabighairydogasnoun-1,,wot
57-32_labeltag,EAH-32_labeltag-1,EAH-32_labeltag-1,,wot
58-33_cattlelivestock,EAH-33_cattlelivestock-1,EAH-33_cattlelivestock-1,,wot
59-33_cattlelivestock,EAH-33_cattlelivestock-1,WOT-33_cattlelivestock-1,,wot
60-34_velvet,EAH-34_velvet-1,EAH-34_velvet-1,,wot
61-34_velvet,EAH-34_velvet-1,WOT-34_velvet-1,,wot
62-35_tofuck,EAH-35_tofuck-1,EAH-35_tofuck-1,,wot
63-35_tofuck,EAH-35_tofuck-1,WOT-35_tofuck-1,,wot
64-36_courageousbravevaliant,EAH-36_courageousbravevaliant-1,EAH-36_courageousbravevaliant-1,,wot
65-36_courageousbravevaliant,EAH-36_courageousbravevaliant-1,WOT-36_courageousbravevaliant-1,,wot
66-37_toestimatetoesteemtoappreciate,EAH-37_toestimatetoesteemtoappreciate-1,EAH-37_toestimatetoesteemtoappreciate-1,,wot
67-37_toestimatetoesteemtoappreciate,EAH-37_toestimatetoesteemtoappreciate-1,WOT-37_toestimatetoesteemtoappreciate-1,,wot
68-38_frog,EAH-38_frog-1,EAH-38_frog-1,,wot
69-38_frog,EAH-38_frog-1,WOT-38_frog-1,,wot
70-40_hobbleshacklelegiron,EAH-40_hobbleshacklelegiron-1,EAH-40_hobbleshacklelegiron-1,,wot
71-40_hobbleshacklelegiron,EAH-40_hobbleshacklelegiron-1,WOT-40_hobbleshacklelegiron-1,,wot
72-40_hobbleshacklelegiron,EAH-40_hobbleshacklelegiron-2,EAH-40_hobbleshacklelegiron-2,,wot
73-40_hobbleshacklelegiron,EAH-40_hobbleshacklelegiron-2,WOT-40_hobbleshacklelegiron-2,,wot
74-41_stampbondmark,EAH-41_stampbondmark-1,EAH-41_stampbondmark-1,,wot
75-41_stampbondmark,EAH-41_stampbondmark-1,WOT-41_stampbondmark-1,,wot
76-42_wagerent,EAH-42_wagerent-1,EAH-42_wagerent-1,,wot
77-42_wagerent,EAH-42_wagerent-1,WOT-42_wagerent-1,,wot
78-43_nameofapeople,EAH-43_nameofapeople-1,EAH-43_nameofapeople-1,,wot
79-43_nameofapeople,EAH-43_nameofapeople-1,WOT-43_nameofapeople-1,,wot
80-44_grainorsmallglobuleofpreciousmetal,EAH-44_grainorsmallglobuleofpreciousmetal-1,EAH-44_grainorsmallglobuleofpreciousmetal-1,,wot
81-44_grainorsmallglobuleofpreciousmetal,EAH-44_grainorsmallglobuleofpreciousmetal-1,WOT-44_grainorsmallglobuleofpreciousmetal-1,,wot
82-45_abirdofprey,EAH-45_abirdofprey-1,EAH-45_abirdofprey-1,,wot
83-45_abirdofprey,EAH-45_abirdofprey-1,WOT-45_abirdofprey-1,,wot
84-46_pechenegnameofatribe,EAH-46_pechenegnameofatribe-1,EAH-46_pechenegnameofatribe-1,,wot
85-46_pechenegnameofatribe,EAH-46_pechenegnameofatribe-1,WOT-46_pechenegnameofatribe-1,,wot
86-47_letterofthealphabet,EAH-47_letterofthealphabet-1,EAH-47_letterofthealphabet-1,,wot
87-47_letterofthealphabet,EAH-47_letterofthealphabet-1,WOT-47_letterofthealphabet-1,,wot
88-50_pocketknife,EAH-50_pocketknife-1,EAH-50_pocketknife-1,,wot
89-50_pocketknife,EAH-50_pocketknife-1,WOT-50_pocketknife-1,,wot
90-50_pocketknife,EAH-50_pocketknife-2,EAH-50_pocketknife-2,,wot
91-50_pocketknife,EAH-50_pocketknife-2,WOT-50_pocketknife-2,,wot
92-50_pocketknife,EAH-50_pocketknife-3,EAH-50_pocketknife-3,,wot
93-50_pocketknife,EAH-50_pocketknife-3,WOT-50_pocketknife-3,,wot
94-51_bull,EAH-51_bull-1,EAH-51_bull-1,,wot
95-51_bull,EAH-51_bull-1,WOT-51_bull-1,,wot
96-52_shackles,EAH-52_shackles-1,EAH-52_shackles-1,,wot
97-52_shackles,EAH-52_shackles-1,WOT-52_shackles-1,,wot
98-53_judge,EAH-53_judge-1,EAH-53_judge-1,,wot
99-53_judge,EAH-53_judge-1,WOT-53_judge-1,,wot
100-54_tobeforgiven,EAH-54_tobeforgiven-1,EAH-54_tobeforgiven-1,,wot
101-54_tobeforgiven,EAH-54_tobeforgiven-1,WOT-54_tobeforgiven-1,,wot
102-55_toforgive,EAH-55_toforgive-1,EAH-55_toforgive-1,,wot
103-55_toforgive,EAH-55_toforgive-1,WOT-55_toforgive-1,,wot
104-56_bucklerwithhandlehandleofdifferentarms,EAH-56_bucklerwithhandlehandleofdifferentarms-1,EAH-56_bucklerwithhandlehandleofdifferentarms-1,,wot
105-57_knotbend,EAH-57_knotbend-1,EAH-57_knotbend-1,,wot
106-57_knotbend,EAH-57_knotbend-1,WOT-57_knotbend-1,,wot
107-58_stackofhay,EAH-58_stackofhay-1,EAH-58_stackofhay-1,,wot
108-58_stackofhay,EAH-58_stackofhay-1,WOT-58_stackofhay-1,,wot
109-59_tasselfringetuftnode,EAH-59_tasselfringetuftnode-1,EAH-59_tasselfringetuftnode-1,,wot
110-59_tasselfringetuftnode,EAH-59_tasselfringetuftnode-1,WOT-59_tasselfringetuftnode-1,,wot
111-60_burdockarctiumsp,EAH-60_burdockarctiumsp-1,EAH-60_burdockarctiumsp-1,,wot
112-60_burdockarctiumsp,EAH-60_burdockarctiumsp-1,WOT-60_burdockarctiumsp-1,,wot
113-61_ankle,EAH-61_ankle-1,EAH-61_ankle-1,,wot
114-61_ankle,EAH-61_ankle-1,WOT-61_ankle-1,,wot
115-63_ankleboot,EAH-63_ankleboot-1,EAH-63_ankleboot-1,,wot
116-63_ankleboot,EAH-63_ankleboot-1,WOT-63_ankleboot-1,,wot
117-63_ankleboot,EAH-63_ankleboot-2,EAH-63_ankleboot-2,,wot
118-63_ankleboot,EAH-63_ankleboot-2,WOT-63_ankleboot-2,,wot
119-64_anthill,EAH-64_anthill-1,EAH-64_anthill-1,,wot
120-64_anthill,EAH-64_anthill-1,WOT-64_anthill-1,,wot
121-65_wine,EAH-65_wine-1,EAH-65_wine-1,,wot
122-65_wine,EAH-65_wine-1,WOT-65_wine-1,,wot
123-66_tocovertooverturn,EAH-66_tocovertooverturn-1,EAH-66_tocovertooverturn-1,,wot
124-66_tocovertooverturn,EAH-66_tocovertooverturn-1,WOT-66_tocovertooverturn-1,,wot
125-67_cover,EAH-67_cover-1,EAH-67_cover-1,,wot
126-67_cover,EAH-67_cover-1,WOT-67_cover-1,,wot
127-68_calf,EAH-68_calf-1,EAH-68_calf-1,,wot
128-68_calf,EAH-68_calf-1,WOT-68_calf-1,,wot
129-69_pepper,EAH-69_pepper-1,EAH-69_pepper-1,,wot
130-69_pepper,EAH-69_pepper-1,WOT-69_pepper-1,,wot
131-70_peapisumsativumbean,EAH-70_peapisumsativumbean-1,EAH-70_peapisumsativumbean-1,,wot
132-70_peapisumsativumbean,EAH-70_peapisumsativumbean-1,WOT-70_peapisumsativumbean-1,,wot
133-71_badgermelesmeles,EAH-71_badgermelesmeles-1,EAH-71_badgermelesmeles-1,,wot
134-71_badgermelesmeles,EAH-71_badgermelesmeles-1,WOT-71_badgermelesmeles-1,,wot
135-72_witchsorceress,EAH-72_witchsorceress-1,EAH-72_witchsorceress-1,,wot
136-72_witchsorceress,EAH-72_witchsorceress-1,WOT-72_witchsorceress-1,,wot
137-73_toannoy,EAH-73_toannoy-1,EAH-73_toannoy-1,,wot
138-73_toannoy,EAH-73_toannoy-1,WOT-73_toannoy-1,,wot
139-74_revenge,EAH-74_revenge-1,EAH-74_revenge-1,,wot
140-74_revenge,EAH-74_revenge-1,WOT-74_revenge-1,,wot
141-78_stickcane,EAH-78_stickcane-1,EAH-78_stickcane-1,,wot
142-78_stickcane,EAH-78_stickcane-1,WOT-78_stickcane-1,,wot
143-78_stickcane,EAH-78_stickcane-2,EAH-78_stickcane-2,,wot
144-78_stickcane,EAH-78_stickcane-2,WOT-78_stickcane-2,,wot
145-78_stickcane,EAH-78_stickcane-3,EAH-78_stickcane-3,,wot
146-78_stickcane,EAH-78_stickcane-3,WOT-78_stickcane-3,,wot
147-78_stickcane,EAH-78_stickcane-4,EAH-78_stickcane-4,,wot
148-78_stickcane,EAH-78_stickcane-4,WOT-78_stickcane-4,,wot
149-79_akindofbeeralcoholicbeverage,EAH-79_akindofbeeralcoholicbeverage-1,EAH-79_akindofbeeralcoholicbeverage-1,,wot
150-80_richabundantroomy,EAH-80_richabundantroomy-1,EAH-80_richabundantroomy-1,,wot
151-80_richabundantroomy,EAH-80_richabundantroomy-1,WOT-80_richabundantroomy-1,,wot
152-81_horseflygadfly,EAH-81_horseflygadfly-1,EAH-81_horseflygadfly-1,,wot
153-81_horseflygadfly,EAH-81_horseflygadfly-1,WOT-81_horseflygadfly-1,,wot
154-82_fasting,EAH-82_fasting-1,EAH-82_fasting-1,,wot
155-82_fasting,EAH-82_fasting-1,WOT-82_fasting-1,,wot
156-83_wise,EAH-83_wise-1,EAH-83_wise-1,,wot
157-83_wise,EAH-83_wise-1,WOT-83_wise-1,,wot
158-84_cradle,EAH-84_cradle-1,EAH-84_cradle-1,,wot
159-84_cradle,EAH-84_cradle-1,WOT-84_cradle-1,,wot
160-85_bison,EAH-85_bison-1,EAH-85_bison-1,,wot
161-85_bison,EAH-85_bison-1,WOT-85_bison-1,,wot
162-86_prisonjail,EAH-86_prisonjail-1,EAH-86_prisonjail-1,,wot
163-86_prisonjail,EAH-86_prisonjail-1,WOT-86_prisonjail-1,,wot
164-88_sadbadtempered,EAH-88_sadbadtempered-1,EAH-88_sadbadtempered-1,,wot
165-88_sadbadtempered,EAH-88_sadbadtempered-1,WOT-88_sadbadtempered-1,,wot
166-89_farewellindulgencededicationfestivalannualparishfeast,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,,wot
167-89_farewellindulgencededicationfestivalannualparishfeast,EAH-89_farewellindulgencededicationfestivalannualparishfeast-1,WOT-89_farewellindulgencededicationfestivalannualparishfeast-1,,wot
168-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid,EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,EAH-90_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid-1,,wot
169-91_volgabulgar,EAH-91_volgabulgar-1,EAH-91_volgabulgar-1,,wot
170-91_volgabulgar,EAH-91_volgabulgar-1,WOT-91_volgabulgar-1,,wot
171-92_steamvapourfumesheat,EAH-92_steamvapourfumesheat-1,EAH-92_steamvapourfumesheat-1,,wot
172-92_steamvapourfumesheat,EAH-92_steamvapourfumesheat-1,WOT-92_steamvapourfumesheat-1,,wot
173-93_wheattriticum,EAH-93_wheattriticum-1,EAH-93_wheattriticum-1,,wot
174-93_wheattriticum,EAH-93_wheattriticum-1,WOT-93_wheattriticum-1,,wot
175-94_clubmacereedmace,EAH-94_clubmacereedmace-1,EAH-94_clubmacereedmace-1,,wot
176-95_beech,EAH-95_beech-1,EAH-95_beech-1,,wot
177-95_beech,EAH-95_beech-1,WOT-95_beech-1,,wot
178-96_sin,EAH-96_sin-1,EAH-96_sin-1,,wot
179-96_sin,EAH-96_sin-1,WOT-96_sin-1,,wot
180-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,,wot
181-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,EAH-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,WOT-97_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill-1,,wot
182-98_magical,EAH-98_magical-1,EAH-98_magical-1,,wot
183-98_magical,EAH-98_magical-1,WOT-98_magical-1,,wot
184-99_akindofwillowsalixelgnos,EAH-99_akindofwillowsalixelgnos-1,EAH-99_akindofwillowsalixelgnos-1,,wot
185-99_akindofwillowsalixelgnos,EAH-99_akindofwillowsalixelgnos-1,WOT-99_akindofwillowsalixelgnos-1,,wot
186-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-1,EAH-103_trapsnareforcatchingbirdsbirdcage-1,,wot
187-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-1,WOT-103_trapsnareforcatchingbirdsbirdcage-1,,wot
188-103_trapsnareforcatchingbirdsbirdcage,EAH-103_trapsnareforcatchingbirdsbirdcage-2,EAH-103_trapsnareforcatchingbirdsbirdcage-2,,wot
