ID,Name,Concepticon_ID,Concepticon_Gloss
0_carpenter,carpenter,1042,CARPENTER
1_cannoncatapult,"cannon, catapult",3202,CANNON
2_tofondlepetcaress,"to fondle, pet, caress",,
3_streamcurrent,"stream, current",2935,CURRENT (STREAM)
4_falseimitation,"false, imitation",3069,FALSE
5_piedofananimalscoat,pied (of an animals coat),,
6_apple,apple,1320,APPLE
7_barrelwoodencontainerandstandardquantity,barrel (wooden container and standard quantity),2548,BARREL
8_tonursetakecareof,"to nurse, take care of",,
9_todecayputrifyturnstale,"to decay, putrify, turn stale",,
10_smalltiny,"small, tiny",1246,SMALL
11_tomow,to mow,190,MOW
12_todecayputrefygobadoffoodwater,"to decay, putrefy, go bad (of food, water)",2907,ROT
13_toharm,to harm,44,INJURE
14_atypeoflasso,a type of lasso,,
15_ditchcanal,"ditch, canal",2002,DITCH
16_barleyhordeum,"barley, Hordeum",932,BARLEY
17_barrow,barrow,2565,CASTRATED BOAR
18_gauntrygantryforsupportingbarrels,"gauntry, gantry (for supporting barrels)",,
19_charm,charm,,
20_soggyplacemoorswampmarsh,"soggy place, moor, swamp, marsh",1145,SWAMP
21_hatchetaxe,"hatchet, axe",677,AXE
22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson,"pagan idol, stone or wooden pillar, vertical beam of different wooden instruments, strong, corpulent person",1945,IDOL
23_governorofcroatiagovernorofthesouthernmarches,"governor of Croatia, governor of the southern marches",,
24_toregrettobesorry,"to regret, to be sorry",1875,REGRET
25_hairybushyofdogsabighairydogasnoun,"hairy, bushy (of dogs); a big hairy dog (as noun)",,
26_labeltag,"label, tag",,
27_cattlelivestock,"cattle, livestock",1153,CATTLE
28_velvet,velvet,,
29_tofuck,to fuck,549,COPULATE
30_courageousbravevaliant,"courageous, brave, valiant",3,BRAVE
31_toestimatetoesteemtoappreciate,"to estimate, to esteem, to appreciate",,
32_frog,frog,503,FROG
33_hobbleshacklelegiron,"hobble, shackle, leg-iron",,
34_stampbondmark,"stamp, bond, mark",596,POSTAGE STAMP
35_wagerent,"wage, rent",,
36_nameofapeople,name of a people,,
37_grainorsmallglobuleofpreciousmetal,grain or small globule of precious metal,,
38_abirdofprey,a bird of prey,,
39_pechenegnameofatribe,"Pecheneg, name of a tribe",,
40_letterofthealphabet,letter (of the alphabet),,
41_pocketknife,pocket knife,3742,POCKETKNIFE
42_bull,bull,1008,BULL
43_shackles,shackles,,
44_judge,judge,861,JUDGE
45_tobeforgiven,to be forgiven,,
46_toforgive,to forgive,1528,FORGIVE
47_bucklerwithhandlehandleofdifferentarms,"buckler with handle, handle of different arms",,
48_knotbend,"knot, bend",760,KNOT
49_stackofhay,stack of hay,,
50_tasselfringetuftnode,"tassel, fringe, tuft, node",2989,FRINGE
51_burdockarctiumsp,"burdock, Arctium sp.",,
52_ankle,ankle,803,ANKLE
53_ankleboot,ankle boot,,
54_anthill,anthill,1873,ANTHILL
55_wine,wine,1524,WINE
56_tocovertooverturn,"to cover, to overturn",761,COVER
57_cover,cover,2319,"LID (COVER, CAP)"
58_calf,calf,1989,CALF
59_pepper,pepper,1385,PEPPER
60_peapisumsativumbean,"pea, Pisum sativum; bean",2025,PEA
61_badgermelesmeles,"badger, Meles meles",3717,BADGER
62_witchsorceress,"witch, sorceress",824,WITCH
63_toannoy,to annoy,2892,MAKE ANGRY (ANNOY)
64_revenge,revenge,495,REVENGE
65_stickcane,"stick, cane",1295,STICK
66_akindofbeeralcoholicbeverage,"a kind of beer, alcoholic beverage",404,ALCOHOL (FERMENTED DRINK)
67_richabundantroomy,"rich; abundant, roomy",712,RICH
68_horseflygadfly,"horsefly, gadfly",3262,HORSEFLY
69_fasting,fast(ing),1631,FAST
70_wise,wise,698,WISE
71_cradle,cradle,2946,CRADLE
72_bison,bison,3142,BISON
73_prisonjail,"prison, jail",1281,PRISON
74_ismaelitenameofanethnicgroupinmedievalhungary,"Ismaelite, name of an ethnic group in Medieval Hungary",,
75_sadbadtempered,"sad, bad-tempered",699,SAD
76_farewellindulgencededicationfestivalannualparishfeast,"farewell, indulgence, dedication festival, annual parish-feast",3554,GOODBYE
77_oxalsooxgoatramwithoutorwithsmallorunusualhornsstupid,"ox; also ox, goat, ram without or with small or unusual horns;stupid",,
78_volgabulgar,Volga Bulgar,,
79_steamvapourfumesheat,"steam, vapour, fumes; heat",1193,STEAM
80_wheattriticum,"wheat, Triticum",1077,WHEAT
81_clubmacereedmace,"club, mace, reed-mace",1763,CLUB
82_beech,beech,1950,BEECH
83_sin,sin,2971,SIN
84_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,"(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill",,
85_magical,magical,,
86_akindofwillowsalixelgnos,"a kind of willow, Salix elægnos",,
87_trapsnareforcatchingbirdsbirdcage,trap; snare (for catching birds); bird cage,,
88_akindofwillowusedforbasketsandinviticulturesalixpurpurea,"a kind of willow, used for baskets and in viticulture, Salix purpurea",,
89_akindofwillow,a kind of willow,,
90_akindofwolfsmilkeasterflowereuphorbia,"a kind of wolfs milk, Easter flower, Euphorbia",,
91_afishleuciscussouffiaagassizi,"a fish, Leuciscus souffia agassizi",,
92_onlyjust,"only, just",1580,ONLY
93_pickaxemaceasmallaxewarhammer,pick-axe; mace; a small axe; war hammer,,
94_nettleurtica,"nettle, Urtica",33,NETTLE
96_thicketbrushwooddryfoliagegrovemeadow,"thicket, brushwood, dry foliage, grove, meadow",,
97_silvercupwoodenladleearthenwarebowl,"(silver) cup, wooden ladle, earthenware bowl",476,CUP
98_fightingtrooparmygroupbattlequarrelhubbubflock,"fighting, troop, army group, battle, quarrel, hubbub, flock",,
99_toaddtojointobuckleupsomething,"to add, to join; to buckle up something",1743,JOIN
100_clasp,clasp,,
101_measlesmallpoxpocksskineruptiondecorativeembroidery,"measle, smallpox, pocks; skin eruption; decorative embroidery",1054,SMALLPOX
102_tobindsomething,to bind (something),1917,TIE
103_impuritiestowchaff,"impurities, tow, chaff",2363,CHAFF (HUSK)
104_snailhelixsnailshellpulleyvertebra,"snail, Helix; snail-shell, pulley, vertebra",1543,SNAIL
105_awineoflowqualityafruitwine,"a wine of low quality, a fruit wine",,
106_secretionmucusdischargedfromtheeyes,"secretion, mucus discharged from the eyes",,
107_squinteyedblindinoneeyeonearmedonelegged,"squint-eyed, blind in one eye, onearmed, one-legged",87,SQUINT-EYED
108_acarpentersaxewithalonghelve,a carpenters axe with a long helve,,
109_stallion,stallion,936,STALLION
110_sexualorganoflargemaleanimalsofabullawhipmadefromit,"sexual organ of large male animals, of a bull; a whip made from it",,
111_feastchristeningfeastatbaptism,"feast, christening feast (at baptism)",,
112_tobecomesmallerremainsmalltoswaytotottertosprain,"to become smaller, remain small, to sway, to totter, tosprain",573,SWAY
113_stubborn,stubborn,3634,STUBBORN
114_fieldguardheraldturkishenvoy,field-guard; herald; Turkish envoy,,
115_roughcoarseuglywildunbridled,"rough, coarse; ugly; wild, unbridled",1923,ROUGH
116_towindtoturntodistrortmisinterprettospinayarn,"to wind, to turn, to distrort, misinterpret, to spin a yarn",1588,TURN
117_bobbinspindle,"bobbin, spindle",277,SPINDLE
118_excellentworthless,excellent; worthless,,
119_ashortfurcoat,a short fur coat,,
120_gristgroatssofthail,"grist, groats, soft hail",,
121_noonsouth,"noon, south",,
122_nutwalnutjuglans,"nut; walnut, Juglans",2042,WALNUT
123_pigsusdomestica,"pig, Sus domestica",1337,PIG
124_toleantoppleoverstreamdown,"to lean, topple over, stream down",,
125_tosqueezetothrustinto,"to squeeze, to thrust into",1414,SQUEEZE
126_churchbuildingandorganisation,church (building and organisation),1349,CHURCH
127_wedge,wedge,,
128_plough,plough,2154,PLOUGH (INSTRUMENT)
129_toallowpermitconcedeyieldgiveway,"to allow, permit, concede; yield, give way",3238,ALLOW
130_topropitiate,to propitiate,,
131_communityworkinagricultureakindofcorvee,"community work in agriculture, a kind of corvée",,
132_toarrivetoreachgetto,"to arrive, to reach, get to",1387,ARRIVE
133_merit,merit,,
134_moralsmorality,"morals, morality",,
135_totirelosevitalityslackenrelax,"to tire, lose vitality, slacken, relax",,
136_strengthpower,"strength, power",2526,POWER
137_oath,oath,1712,OATH
138_reasonmind,"reason, mind",1562,MIND
139_rivernameofariver,"river, name of a river",666,RIVER
140_pelicanpelicanus,"pelican, Pelicanus",472,PELICAN
141_polecatputoriusfoetidus,"polecat, Putorius foetidus",,
142_matchmaker,matchmaker,,
143_gleanermousemusspicilegus,"gleaner mouse, Mus spicilegus",,
144_toabusecalumniate,"to abuse, calumniate",1953,ABUSE
145_dragnetakindoffishingnet,"drag-net, a kind of fishing net",,
146_suspicionmistrust,"suspicion, mistrust",3197,SUSPICION
147_wool,wool,964,WOOL
148_cotton,cotton,1850,COTTON
149_toincreasetoputonweighttogrowstronger,"to increase, to put on weight, to grow stronger",1041,INCREASE
150_poorfrailfeeble,"poor, frail, feeble",1674,POOR
151_toproducebuildfabricate,"to produce, build, fabricate",2886,PRODUCE
152_mourningbereavement,"mourning, bereavement",3673,MOURNING
153_bulrushtyphalatifoliaangustifoliamattingmadeofbulrushes,"bulrush, Typha latifolia / angustifolia; matting made of bulrushes",,
154_weakfeeble,"weak, feeble",1601,WEAK
155_rein,rein,,
156_borderlandhedge,"borderland, hedge",,
157_lawngrassplot,"lawn,grass-(plot)",606,GRASS
158_child,child,2099,CHILD
159_candle,candle,1273,CANDLE
160_hornbeamcarpinusbetulus,"hornbeam, Carpinus betulus",,
161_murderkiller,"murder, killer",845,MURDER
162_weed,weed,3288,WEED
163_stomach,stomach,819,STOMACH
164_toconfesssins,to confess (sins),,
165_cudweedgnaphaliumedelweiss,"cudweed, Gnaphalium; Edelweiss",,
166_pearl,pearl,3325,PEARL
167_totorturetomakesuffer,"to torture, to make suffer",1952,TORTURE
168_toconquersomebodysomethingtriumphoversomebodysomethinggainvictory,"to conquer (somebody, something), triumph (over somebody, something), gain victory",782,DEFEAT
169_tocatchfirebekindledtobeignited,"to catch fire, be kindled, to be ignited",,
170_tokneadpug,"to knead, pug",274,KNEAD
171_toassemblegather,"to assemble, gather",3638,ASSEMBLE (GET TOGETHER)
172_tocollectgathersomething,"to collect,gather something",7,GATHER
173_tohate,to hate,1607,HATE
174_fruit,fruit,1507,FRUIT
175_hawthornaplantsimilartothewhitethornorelder,"hawthorn, a plant similar to the whitethorn, or elder",1168,HAWTHORN
176_akindoftreesimilartothemapleorcornelacertataricumcornussanguinea,"a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea",,
177_ring,ring,1374,RING
178_thimble,thimble,,
179_boatship,"boat, ship",1844,BOAT
180_bell,bell,2246,BELL
181_hawk,hawk,307,HAWK
182_sand,sand,671,SAND
