ID	COGID	DOCULECT	ALIGNMENT	PROSODY
0	1	H	#aː t͡ʃ# -#	VC
1	1	EAH	a ɣ at͡ʃi	VCVCV
2	2	H	#aː ɟ uː# -#	VCV
3	2	EAH	a l.d a ɣ	VCCVC
4	3	H	#ɒ j.n# -#	VCC
5	3	EAH	a j an	VCVC
6	6	H	#aː l# -#	VC
7	6	EAH	aː l -	VC
8	7	H	#ɒ l ɒ t͡ʃ# -#	VCVC
9	7	EAH	a l a t͡ʃ -	VCVC
10	8	H	#ɒ l ɒ t͡ʃ# -#	VCVC
11	8	EAH	a l a t͡ʃ -	VCVC
12	9	H	#ɒ l ɒ t͡ʃ# -#	VCVC
13	9	EAH	a l a t͡ʃ -	VCVC
14	10	H	#ɒ l ɒ t͡ʃ# -#	VCVC
15	10	EAH	a l a t͡ʃ -	VCVC
16	11	H	#ɒ l.m ɒ# -#	VCCV
17	11	EAH	a l.m a -	VCCV
18	12	H	#aː l.t ɒ l ɒ ɡ# -#	VCCVCVC
19	12	EAH	a l.t a l a ɡ -	VCCVCVC
20	13	H	#aː t ɒ l ɒ ɡ# -#	VCVCVC
21	13	EAH	a l.t a l a ɡ -	VCCVCVC
22	14	H	#aː p# -#	VC
23	14	EAH	o p -	VC
24	15	H	#aː p o r o# -#	VCVCV
25	15	EAH	o p o r o -	VCVCV
26	16	H	#ɒ p.r oː# -#	VCCV
27	16	EAH	o p u ruɣ	VCVCVC
28	17	H	#ɒ r ɒ t# -#	VCVC
29	17	EAH	o r a t -	VCVC
30	18	H	#ɒ r ɒ t# -#	VCVC
31	18	EAH	o r a t -	VCVC
32	19	H	#aː r# -#	VC
33	19	EAH	aː r -	VC
34	20	H	#aː r.t# -#	VCC
35	20	EAH	aː r.t at	VCCVC
36	21	H	#aː r.k aː ɲ# -#	VCCVC
37	21	EAH	a r.k a n -	VCCVC
38	22	H	#aː r o k# -#	VCVC
39	22	EAH	aː r u k -	VCVC
40	23	H	#aː r.p ɒ# -#	VCCV
41	23	EAH	a r.p a -	VCCV
42	24	H	#aː r.t aː ɲ# -#	VCCVC
43	24	EAH	a r i t an	VCVCVC
44	25	H	#aː s o + k#	VCVC
45	25	EAH	a s.k i	VCCV
46	26	H	#b aː j# -#	CVC
47	26	EAH	b a j -	CVC
48	27	H	#b ɒ l.k aː ɲ# -#	CVCCVC
49	27	EAH	b a l.k a n -	CVCCVC
50	28	H	#b ɒ l.t ɒ# -#	CVCCV
51	28	EAH	b a l.t a -	CVCCV
52	29	H	#b aː l.v aː ɲ# -#	CVCCVC
53	29	EAH	b a l.v a n -	CVCCVC
54	31	H	#b aː n# -#	CVC
55	31	EAH	b a ɣ in	CVCVC
56	32	H	#b ɒ r aː ɡ# -#	CVCVC
57	32	EAH	b a r a ɡ -	CVCVC
58	33	H	#b aː r.t͡s ɒ# -#	CVCCV
59	33	EAH	b aː s a -	CVCV
60	34	H	#b ɒ r o m# -#	CVCVC
61	34	EAH	b a r u m -	CVCVC
62	35	H	#b aː r.ʃ o ɲ# -#	CVCCVC
63	35	EAH	b a r.t͡ʃ u n -	CVCCVC
64	36	H	#b ɒ s# -#	CVC
65	36	EAH	b a s -	CVC
66	37	H	#b aː t o r# -#	CVCVC
67	37	EAH	b a ɣ a t ur	CVCVCVC
68	38	H	#b e t͡ʃ y l# -#	CVCVC
69	38	EAH	b ɛ t͡ʃ ɛ l -	CVCVC
70	39	H	#b eː k ɒ# -#	CVCV
71	39	EAH	b a k a -	CVCV
72	40	H	#b eː k oː# -#	CVCV
73	40	EAH	b i k a ɣu	CVCVCV
74	41	H	#b eː k.j oː# -#	CVCCV
75	41	EAH	b i k a ɣu	CVCVCV
76	42	H	#b eː j ɛ ɡ# -#	CVCVC
77	42	EAH	b ɛ l ɛ ɡ -	CVCVC
78	43	H	#b eː r# -#	CVC
79	43	EAH	b eː r y	CVCV
80	44	H	#b ɛ r.t͡s ɛ l# -#	CVCCVC
81	44	EAH	b ɛ r.s i l -	CVCCVC
82	45	H	#b ɛ r.t yː# -#	CVCCV
83	45	EAH	b y r.t i ɣ	CVCCVC
84	46	H	#b ɛ ʃ ɛ# -#	CVCV
85	46	EAH	b ɛ ʃ ɛ -	CVCV
86	47	H	#b ɛ ʃ ɛ ɲ øː# -#	CVCVCV
87	47	EAH	b ɛ ʃ ɛ n ɛ ɣ	CVCVCVC
88	48	H	#b ɛ t yː# -#	CVCV
89	48	EAH	b i t i ɣ	CVCVC
90	49	H	#b i t͡ʃ ɒ k# -#	CVCVC
91	49	EAH	b i t͡ʃ a k -	CVCVC
92	50	H	#b i t͡ʃ ɒ k# -#	CVCVC
93	50	EAH	b i t͡ʃ a k -	CVCVC
94	51	H	#b i t͡ʃ ɒ k# -#	CVCVC
95	51	EAH	b i t͡ʃ a k -	CVCVC
96	52	H	#b i k ɒ# -#	CVCV
97	52	EAH	b i k a -	CVCV
98	53	H	#b i l i n.t͡ʃ# -#	CVCVCC
99	53	EAH	b i l ɛ t͡ʃ ɛk	CVCVCVC
100	54	H	#b iː r oː# -#	CVCV
101	54	EAH	b i r u ɣ	CVCVC
102	55	H	#b o t͡ʃ aː n# -#	CVCVC
103	55	EAH	b o l.t͡ʃ a n -	CVCCVC
104	56	H	#b o t͡ʃ aː t# -#	CVCVC
105	56	EAH	b u l.t͡ʃ a t -	CVCCVC
106	57	H	#b oː d ɒ# -#	CVCV
107	57	EAH	b a l.d a w	CVCCVC
108	58	H	#b o ɡ# -#	CVC
109	58	EAH	b o ɡ -	CVC
110	59	H	#b o ɡ.j ɒ# -#	CVCCV
111	59	EAH	b o ɡ u l	CVCVC
112	60	H	#b o j.t# -#	CVCC
113	60	EAH	b u ɣ ut	CVCVC
114	61	H	#b o j.t o r.j aː n# -#	CVCCVCCVC
115	61	EAH	b a l.t u r.ɣ a n -	CVCCVCCVC
116	62	H	#b o k ɒ# -#	CVCV
117	62	EAH	b a k a -	CVCV
118	63	H	#b ɒ k ɒ + n#	CVCVC
119	63	EAH	b o k ɒ	CVCV
120	64	H	#b ɒ k ɒ + n#	CVCVC
121	64	EAH	b ɒ k ɒ	CVCV
122	65	H	#b o j# -#	CVC
123	65	EAH	b o ɣ ol	CVCVC
124	66	H	#b o r# -#	CVC
125	66	EAH	b o r -	CVC
126	67	H	#b o r# -#	CVC
127	67	EAH	b o r -	CVC
128	68	H	#b u r# -#	CVC
129	68	EAH	b u r -	CVC
130	69	H	#b o r.j uː# -#	CVCCV
131	69	EAH	b u r a ɣu	CVCVCV
132	70	H	#b o r.ʃ# -#	CVCC
133	70	EAH	b u r.t͡ʃ -	CVCC
134	71	H	#b o r.ʃ oː# -#	CVCCV
135	71	EAH	b u r.t͡ʃ a ɣ	CVCCVC
136	72	H	#b o r.z# -#	CVCC
137	72	EAH	b o r.s i	CVCCV
138	73	H	#b o s o r.k aː ɲ# -#	CVCVCCVC
139	73	EAH	b a s a r.k a n -	CVCVCCVC
140	74	H	#b o sː ɒ n# -#	CVCVC
141	74	EAH	b u s a n -	CVCVC
142	75	H	#b o sː uː# -#	CVCV
143	75	EAH	b o s u ɣ	CVCVC
144	76	H	#b o t# -#	CVC
145	76	EAH	b u t iɣ	CVCVC
146	77	H	#b o t# -#	CVC
147	77	EAH	b u t iɣ	CVCVC
148	78	H	#b u t# -#	CVC
149	78	EAH	b u t iɣ	CVCVC
150	79	H	#b u t# -#	CVC
151	79	EAH	b u t iɣ	CVCVC
152	80	H	#b o z ɒ# -#	CVCV
153	80	EAH	b o z a -	CVCV
154	81	H	#b øː# -#	CV
155	81	EAH	b ɛ ɣ	CVC
156	82	H	#b ø ɡ ø j# -#	CVCVC
157	82	EAH	b ø ɡ ø l øk	CVCVCVC
158	83	H	#b ø j.t# -#	CVCC
159	83	EAH	b y ɣ.t ɛ	CVCCV
160	84	H	#b ø l.t͡ʃ# -#	CVCC
161	84	EAH	b y ɣ yt͡ʃi	CVCVCV
162	85	H	#b ø l.t͡ʃ øː# -#	CVCCV
163	85	EAH	b ɛ l.t͡ʃ ɛ ɣ	CVCCVC
164	86	H	#b ø l eː ɲ# -#	CVCVC
165	86	EAH	b ɛ l ɛ n -	CVCVC
166	87	H	#b ø r.t ø n# -#	CVCCVC
167	87	EAH	b ɛ r.t ɛ n -	CVCCVC
168	89	H	#b uː ʃ# -#	CVC
169	89	EAH	b u ɣ -	CVC
170	90	H	#b uː t͡ʃ uː# -#	CVCV
171	90	EAH	b u l.t͡ʃ u ɣ	CVCCVC
172	91	H	#b u ɡ ɒ# -#	CVCV
173	91	EAH	b u ɡ a -	CVCV
174	92	H	#b u l ɒ r# -#	CVCVC
175	92	EAH	b u l a r -	CVCVC
176	93	H	#b uː s# -#	CVC
177	93	EAH	b uː s -	CVC
178	94	H	#b uː z ɒ# -#	CVCV
179	94	EAH	b u ɣ.z a.i -	CVCCVV
180	95	H	#b u z o ɡ + aːɲ#	CVCVCVC
181	95	EAH	b u z.ɡ a n	CVCCVC
182	96	H	#b y kː# -#	CVC
183	96	EAH	b i k -	CVC
184	97	H	#b yː n# -#	CVC
185	97	EAH	b yː n -	CVC
186	98	H	#b y t y# -#	CVCV
187	98	EAH	b y t y ɣ	CVCVC
188	99	H	#b yː# -#	CV
189	99	EAH	b y ɣy	CVCV
190	100	H	#t͡s i ɡ.l ɛ# -#	CVCCV
191	100	EAH	t͡ʃ i ɡ.l ɛ -	CVCCV
192	101	H	#t͡ʃ i ɡ.l ɛ# -#	CVCCV
193	101	EAH	t͡ʃ i k.l ɛ -	CVCCV
194	102	H	#t͡ʃ ɛ k.l ɛ# -#	CVCCV
195	102	EAH	t͡ʃ i k.l ɛ -	CVCCV
196	103	H	#t͡ʃ ɛ k.j ɛ# -#	CVCCV
197	103	EAH	t͡ʃ i k.l ɛ -	CVCCV
198	104	H	#t͡ʃ i k.l ɛ# -#	CVCCV
199	104	EAH	t͡ʃ i k.l ɛ -	CVCCV
200	105	H	#t͡ʃ i ɡ o + jɒ#	CVCVCV
201	105	EAH	t͡ʃ i ɡ.l a	CVCCV
202	106	H	#t͡ʃ i ɡ.l ɒ# -#	CVCCV
203	106	EAH	t͡ʃ i ɡ.l a -	CVCCV
204	107	H	#t͡s ø t.k eː ɲ# -#	CVCCVC
205	107	EAH	s y t.k ɛ n -	CVCCVC
206	108	H	#t͡s ø t.k eː ɲ# -#	CVCCVC
207	108	EAH	s y tː ɛ ɡ ɛn	CVCVCVC
208	109	H	#t͡ʃ ɒ b ɒ k# -#	CVCVC
