ID	COGID	DOCULECT	ALIGNMENT	PROSODY
0	1	EAH	a ɣ a t͡ʃ i	VCVCV
1	1	WOT	a ɣ a t͡ʃː ɯ	VCVCV
2	2	EAH	a l d a ɣ	VCCVC
3	2	WOT	a l d a ɣ	VCCVC
4	3	EAH	a j a n	VCVC
5	3	WOT	a j a n	VCVC
6	6	EAH	aː l	VC
7	6	WOT	a l	VC
8	7	EAH	a l a t͡ʃ -	VCVC
9	7	WOT	a l a t͡ʃ ɯ	VCVCV
10	8	EAH	a l a t͡ʃ -	VCVC
11	8	WOT	a l a t͡ʃ u	VCVCV
12	9	EAH	a l a t͡ʃ -	VCVC
13	9	WOT	a l a t͡ʃ o	VCVCV
14	10	EAH	a l a t͡ʃ	VCVC
15	10	WOT	ɒ l ɒ t͡ʃ	VCVC
16	11	EAH	a l m a	VCCV
17	11	WOT	a l m a	VCCV
18	12	EAH	a l t a l a ɡ	VCCVCVC
19	12	WOT	a l t ɯ l ɯ ɡ	VCCVCVC
20	13	EAH	a l t a l a ɡ	VCCVCVC
21	13	WOT	a l t ɯ l ɯ ɡ	VCCVCVC
22	14	EAH	o p	VC
23	14	WOT	o p	VC
24	15	EAH	o p o r o	VCVCV
25	15	WOT	o p u r a	VCVCV
26	16	EAH	o p u r u ɣ	VCVCVC
27	16	WOT	o p u r u ɣ	VCVCVC
28	17	EAH	o r a t	VCVC
29	17	WOT	o r a t	VCVC
30	18	EAH	o r a t	VCVC
31	18	WOT	o r - -	VC
32	19	EAH	aː r	VC
33	19	WOT	a r	VC
34	20	EAH	aː r t a t	VCCVC
35	20	WOT	a r t a t	VCCVC
36	22	EAH	aː r u k	VCVC
37	22	WOT	a r u k	VCVC
38	23	EAH	a r p a	VCCV
39	23	WOT	a r p a	VCCV
40	24	EAH	a r i t a n	VCVCVC
41	24	WOT	a r ɯ t a n	VCVCVC
42	25	EAH	a s k i	VCCV
43	25	WOT	a s k ɯ	VCCV
44	26	EAH	b a j	CVC
45	26	WOT	b a j	CVC
46	27	EAH	b a l k a n	CVCCVC
47	27	WOT	b a l k a n	CVCCVC
48	28	EAH	b a l t a	CVCCV
49	28	WOT	b a l t a	CVCCV
50	29	EAH	b a l v a n	CVCCVC
51	29	WOT	b a l v a n	CVCCVC
52	31	EAH	b a ɣ i n	CVCVC
53	31	WOT	b a ɡ ɯ n	CVCVC
54	34	EAH	b a r u m	CVCVC
55	34	WOT	b a r u m	CVCVC
56	35	EAH	b a r t͡ʃ u n	CVCCVC
57	35	WOT	b a r t͡ʃ u n	CVCCVC
58	36	EAH	b a s	CVC
59	36	WOT	b a s	CVC
60	37	EAH	b a ɣ a t u r	CVCVCVC
61	37	WOT	b a ɣ a t u r	CVCVCVC
62	38	EAH	b ɛ t͡ʃ ɛ l	CVCVC
63	38	WOT	b i t͡ʃ i l	CVCVC
64	39	EAH	b a k a	CVCV
65	39	WOT	b a k a	CVCV
66	40	EAH	b i k a ɣ u	CVCVCV
67	40	WOT	b ɯ k a ɣ u	CVCVCV
68	41	EAH	b i k a ɣ u	CVCVCV
69	41	WOT	b ɯ k a ɣ u	CVCVCV
70	42	EAH	b ɛ l ɛ ɡ	CVCVC
71	42	WOT	b ɛ l ɛ ɡ	CVCVC
72	43	EAH	b eː r y	CVCV
73	43	WOT	b ɛ r y	CVCV
74	44	EAH	b ɛ r s i l	CVCCVC
75	44	WOT	b ɛ r s i l	CVCCVC
76	45	EAH	b y r t i ɣ	CVCCVC
77	45	WOT	b y r t i ɣ	CVCCVC
78	46	EAH	b ɛ ʃ ɛ	CVCV
79	46	WOT	b ɛ ʃ ɛ	CVCV
80	47	EAH	b ɛ ʃ ɛ n ɛ ɣ	CVCVCVC
81	47	WOT	b ɛ t͡ʃ ɛ n ɛ ɡ	CVCVCVC
