ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
0	H	#aː t͡ʃ# -#	1	VC
1	EAH	a.ɣ.a t͡ʃ i	1	VCVCV
2	H	#aː ɟ uː#	2	VCV
3	EAH	a l.d a.ɣ	2	VCCVC
4	H	#ɒ j n	3	VCC
5	EAH	a j.a n	3	VCVC
6	H	#aː l# -#	6	VC
7	EAH	aː l -	6	VC
8	H	#ɒ l ɒ t͡ʃ# -#	7	VCVC
9	EAH	a l a t͡ʃ -	7	VCVC
10	H	#ɒ l.m ɒ# -#	11	VCCV
11	EAH	a l.m a -	11	VCCV
12	H	#aː t ɒ l ɒ ɡ# -#	13	VCVCVC
13	EAH	a l.t a l a ɡ -	13	VCCVCVC
14	H	#aː p	14	VC
15	EAH	o p	14	VC
16	H	#aː p o r o	15	VCVCV
17	EAH	o p o r o	15	VCVCV
18	H	#ɒ p.r oː#	16	VCCV
19	EAH	o p.u.r uɣ	16	VCVCVC
20	H	#ɒ r ɒ t# -#	17	VCVC
21	EAH	o r a t -	17	VCVC
22	H	#aː r	19	VC
23	EAH	aː r	19	VC
24	H	#aː r.t# -#	20	VCC
25	EAH	aː r.t a.t	20	VCCVC
26	H	#aː r.k aː ɲ# -#	21	VCCVC
27	EAH	a r.k a n -	21	VCCVC
28	H	#aː r o k# -#	22	VCVC
29	EAH	aː r u k -	22	VCVC
30	H	#aː r.p ɒ# -#	23	VCCV
31	EAH	a r.p a -	23	VCCV
32	H	#aː r.t aː ɲ#	24	VCCVC
33	EAH	a r.i.t a n	24	VCVCVC
34	H	#aː s o k# -#	25	VCVC
35	EAH	a s - k i	25	VCCV
36	H	#b aː j# -#	26	CVC
37	EAH	b a j -	26	CVC
38	H	#b ɒ l.k aː ɲ# -#	27	CVCCVC
39	EAH	b a l.k a n -	27	CVCCVC
40	H	#b ɒ l.t ɒ# -#	28	CVCCV
41	EAH	b a l.t a -	28	CVCCV
42	H	#b aː l.v aː ɲ# -#	29	CVCCVC
43	EAH	b a l.v a n -	29	CVCCVC
44	H	#b aː n#	31	CVC
45	EAH	b a.ɣ.i n	31	CVCVC
46	H	#b ɒ r aː ɡ# -#	32	CVCVC
47	EAH	b a r a ɡ -	32	CVCVC
48	H	#b aː r.t͡s ɒ# -#	33	CVCCV
49	EAH	b aː s a -	33	CVCV
50	H	#b ɒ r o m# -#	34	CVCVC
51	EAH	b a r u m -	34	CVCVC
52	H	#b aː r.ʃ o ɲ# -#	35	CVCCVC
53	EAH	b a r.t͡ʃ u n -	35	CVCCVC
54	H	#b ɒ s	36	CVC
55	EAH	b a s	36	CVC
56	H	#b aː t o r# -#	37	CVCVC
57	EAH	b a.ɣ.a t u r -	37	CVCVCVC
58	H	#b e t͡ʃ y l# -#	38	CVCVC
59	EAH	b ɛ t͡ʃ ɛ l -	38	CVCVC
60	H	#b eː k ɒ# -#	39	CVCV
61	EAH	b a k a -	39	CVCV
62	H	#b eː k oː#	40	CVCV
63	EAH	b i k a.ɣ.u	40	CVCVCV
64	H	#b eː k.j oː#	41	CVCCV
65	EAH	b i k a.ɣ.u	41	CVCVCV
66	H	#b eː j ɛ ɡ# -#	42	CVCVC
67	EAH	b ɛ l ɛ ɡ -	42	CVCVC
68	H	#b eː r# -#	43	CVC
69	EAH	b eː r y	43	CVCV
70	H	#b ɛ r.t͡s ɛ l# -#	44	CVCCVC
71	EAH	b ɛ r.s i l -	44	CVCCVC
72	H	#b ɛ r.t yː#	45	CVCCV
73	EAH	b y r.t i.ɣ	45	CVCCVC
74	H	#b ɛ ʃ ɛ# -#	46	CVCV
75	EAH	b ɛ ʃ ɛ -	46	CVCV
76	H	#b ɛ ʃ ɛ ɲ øː#	47	CVCVCV
77	EAH	b ɛ ʃ ɛ n ɛ.ɣ	47	CVCVCVC
78	H	#b ɛ t yː#	48	CVCV
79	EAH	b i t i.ɣ	48	CVCVC
80	H	#b i t͡ʃ ɒ k# -#	49	CVCVC
81	EAH	b i t͡ʃ a k -	49	CVCVC
82	H	#b i k ɒ# -#	52	CVCV
83	EAH	b i k a -	52	CVCV
84	H	#b i l i n.t͡ʃ# -#	53	CVCVCC
85	EAH	b i l ɛ t͡ʃ ɛk	53	CVCVCVC
86	H	#b iː r oː#	54	CVCV
87	EAH	b i r u.ɣ	54	CVCVC
88	H	#b o t͡ʃ aː n -#	55	CVCVC
89	EAH	b o l.t͡ʃ a n -	55	CVCCVC
90	H	#b o t͡ʃ aː t# -#	56	CVCVC
91	EAH	b u l.t͡ʃ a t -	56	CVCCVC
92	H	#b oː d ɒ#	57	CVCV
93	EAH	b a l.d a.w	57	CVCCVC
94	H	#b o ɡ# -#	58	CVC
95	EAH	b o ɡ -	58	CVC
96	H	#b o ɡ.j ɒ#	59	CVCCV
97	EAH	b o ɡ.u.l -	59	CVCVC
98	H	#b o j.t#	60	CVCC
