"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-2"	1	"carpenter"	1042	"CARPENTER"
"Rona-Tas-2011-500-3"	2	"cannon, catapult"	3202	"CANNON"
"Rona-Tas-2011-500-4"	3	"to fondle, pet, caress"	3780	"PET"
"Rona-Tas-2011-500-5"	4	"stream, current"	2935	"CURRENT (STREAM)"
"Rona-Tas-2011-500-6"	5	"stream, current"	2935	"CURRENT (STREAM)"
"Rona-Tas-2011-500-7"	6	"false, imitation"	3069	"FALSE"
"Rona-Tas-2011-500-8"	7	"pied (of an animals coat)"	3976	"PIEBALD"
"Rona-Tas-2011-500-9"	8	"pied (of an animals coat)"	3976	"PIEBALD"
"Rona-Tas-2011-500-10"	9	"pied (of an animals coat)"	3976	"PIEBALD"
"Rona-Tas-2011-500-11"	10	"pied (of an animals coat)"	3976	"PIEBALD"
"Rona-Tas-2011-500-12"	11	"apple"	1320	"APPLE"
"Rona-Tas-2011-500-13"	12	"barrel (wooden container andstandard quantity)"	2548	"BARREL"
"Rona-Tas-2011-500-14"	13	"barrel (wooden container andstandard quantity)"	2548	"BARREL"
"Rona-Tas-2011-500-15"	14	"to nurse, take care of"	2472	"SUCKLE (BREASTFEED, NURSE)"
"Rona-Tas-2011-500-16"	15	"to decay, putrify, turn stale"	2907	"ROT"
"Rona-Tas-2011-500-17"	16	"small, tiny"	1246	"SMALL"
"Rona-Tas-2011-500-18"	17	"to mow"	190	"MOW"
"Rona-Tas-2011-500-19"	18	"to mow"	190	"MOW"
"Rona-Tas-2011-500-20"	19	"to decay, putrefy, go bad (of food, water)"	2907	"ROT"
"Rona-Tas-2011-500-21"	20	"to harm"	44	"INJURE"
"Rona-Tas-2011-500-22"	21	"a type of lasso"	340	"LASSO"
"Rona-Tas-2011-500-23"	22	"ditch, canal"	2002	"DITCH"
"Rona-Tas-2011-500-24"	23	"barley, Hordeum"	932	"BARLEY"
"Rona-Tas-2011-500-25"	24	"barrow"	2565	"CASTRATED BOAR"
"Rona-Tas-2011-500-26"	25	"gauntry, gantry (for supporting barrels)"	3977	"GANTRY"
"Rona-Tas-2011-500-27"	26	"charm"	3978	"CHARISMA"
"Rona-Tas-2011-500-28"	27	"soggy place, moor, swamp, marsh"	1145	"SWAMP"
"Rona-Tas-2011-500-29"	28	"hatchet, axe"	677	"AXE"
"Rona-Tas-2011-500-30"	29	"pagan idol, stone or wooden pillar, vertical beam of different wooden instruments, strong, corpulent person"	857	"STONE"
"Rona-Tas-2011-500-31"	30	"governor of Croatia, governor of the southern marches"		"BAN (TITLE)"
"Rona-Tas-2011-500-32"	31	"to regret, to be sorry"	1875	"REGRET"
"Rona-Tas-2011-500-33"	32	"hairy, bushy (of dogs); a big hairy dog (as noun)"	3980	"HAIRY"
"Rona-Tas-2011-500-34"	33	"label, tag"	3981	"LABEL"
"Rona-Tas-2011-500-35"	34	"cattle, livestock"	1153	"CATTLE"
"Rona-Tas-2011-500-36"	35	"velvet"	1982	"VELVET"
"Rona-Tas-2011-500-37"	36	"to fuck"	579	"COPULATE"
"Rona-Tas-2011-500-38"	37	"courageous, brave, valiant"	3	"BRAVE"
"Rona-Tas-2011-500-39"	38	"to estimate, to esteem, to appreciate"	1932	"GUESS"
"Rona-Tas-2011-500-40"	39	"frog"	503	"FROG"
"Rona-Tas-2011-500-41"	40	"hobble, shackle, leg-iron"	3983	"LEGCUFFS"
"Rona-Tas-2011-500-42"	41	"hobble, shackle, leg-iron"	3983	"LEGCUFFS"
"Rona-Tas-2011-500-43"	42	"stamp, bond, mark"	1720	"SIGN"
"Rona-Tas-2011-500-44"	43	"wage, rent"	1122	"WAGES"
"Rona-Tas-2011-500-45"	44	"name of a people"	1405	"NAME"
"Rona-Tas-2011-500-46"	45	"grain or small globule of preciousmetal"	605	"GRAIN"
"Rona-Tas-2011-500-47"	46	"a bird of prey"	307	"HAWK"
"Rona-Tas-2011-500-48"	47	"Pecheneg, name of a tribe"	1405	"NAME"
"Rona-Tas-2011-500-49"	48	"letter (of the alphabet)"	1612	"LETTER"
