"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-1"	1	"carpenter"	1042	"CARPENTER"
"Rona-Tas-2011-500-2"	2	"cannon, catapult"	3202	"CANNON"
"Rona-Tas-2011-500-3"	3	"to fondle, pet, caress"	3780	"PET"
"Rona-Tas-2011-500-4"	4	"stream, current"	2935	"CURRENT (STREAM)"
"Rona-Tas-2011-500-5"	5	"stream, current"	2935	"CURRENT (STREAM)"
"Rona-Tas-2011-500-6"	6	"false, imitation"	3069	"FALSE"
"Rona-Tas-2011-500-7"	7	"apple"	1320	"APPLE"
"Rona-Tas-2011-500-8"	8	"barrel (wooden container andstandard quantity)"	2548	"BARREL"
"Rona-Tas-2011-500-9"	9	"barrel (wooden container andstandard quantity)"	2548	"BARREL"
"Rona-Tas-2011-500-10"	10	"to nurse, take care of"	2472	"SUCKLE (BREASTFEED, NURSE)"
"Rona-Tas-2011-500-11"	11	"to decay, putrify, turn stale"	2907	"ROT"
"Rona-Tas-2011-500-12"	12	"small, tiny"	1246	"SMALL"
"Rona-Tas-2011-500-13"	13	"to mow"	190	"MOW"
"Rona-Tas-2011-500-14"	14	"to mow"	190	"MOW"
"Rona-Tas-2011-500-15"	15	"to decay, putrefy, go bad (of food, water)"	2907	"ROT"
"Rona-Tas-2011-500-16"	16	"to harm"	44	"INJURE"
"Rona-Tas-2011-500-17"	17	"ditch, canal"	2002	"DITCH"
"Rona-Tas-2011-500-18"	18	"barley, Hordeum"	932	"BARLEY"
"Rona-Tas-2011-500-19"	19	"barrow"	2565	"CASTRATED BOAR"
"Rona-Tas-2011-500-20"	20	"soggy place, moor, swamp, marsh"	1145	"SWAMP"
"Rona-Tas-2011-500-21"	21	"hatchet, axe"	677	"AXE"
"Rona-Tas-2011-500-22"	22	"pagan idol, stone or wooden pillar, vertical beam of different wooden instruments, strong, corpulent person"	857	"STONE"
"Rona-Tas-2011-500-23"	23	"to regret, to be sorry"	1875	"REGRET"
"Rona-Tas-2011-500-24"	24	"cattle, livestock"	1153	"CATTLE"
"Rona-Tas-2011-500-25"	25	"courageous, brave, valiant"	3	"BRAVE"
"Rona-Tas-2011-500-26"	26	"frog"	503	"FROG"
"Rona-Tas-2011-500-27"	27	"stamp, bond, mark"	1720	"SIGN"
"Rona-Tas-2011-500-28"	28	"grain or small globule of preciousmetal"	605	"GRAIN"
"Rona-Tas-2011-500-29"	29	"letter (of the alphabet)"	1612	"LETTER"
"Rona-Tas-2011-500-30"	30	"pocket knife"	3742	"POCKETKNIFE"
"Rona-Tas-2011-500-31"	31	"pocket knife"	3742	"POCKETKNIFE"
"Rona-Tas-2011-500-32"	32	"pocket knife"	3742	"POCKETKNIFE"
"Rona-Tas-2011-500-33"	33	"bull"	1008	"BULL"
"Rona-Tas-2011-500-34"	34	"judge"	861	"JUDGE"
"Rona-Tas-2011-500-35"	35	"to forgive"	1528	"FORGIVE"
"Rona-Tas-2011-500-36"	36	"knot, bend"	760	"KNOT"
"Rona-Tas-2011-500-37"	37	"tassel, fringe, tuft, node"	2989	"FRINGE"
"Rona-Tas-2011-500-38"	38	"ankle"	803	"ANKLE"
"Rona-Tas-2011-500-39"	39	"anthill"	1873	"ANTHILL"
"Rona-Tas-2011-500-40"	40	"wine"	1524	"WINE"
"Rona-Tas-2011-500-41"	41	"to cover, to overturn"	761	"COVER"
"Rona-Tas-2011-500-42"	42	"cover"	761	"COVER"
"Rona-Tas-2011-500-43"	43	"calf"	1989	"CALF"
"Rona-Tas-2011-500-44"	44	"pepper"	1385	"PEPPER"
"Rona-Tas-2011-500-45"	45	"pea, Pisum sativum; bean"	832	"BEAN"
"Rona-Tas-2011-500-46"	46	"badger, Meles meles"	3717	"BADGER"
"Rona-Tas-2011-500-47"	47	"witch, sorceress"	824	"WITCH"
"Rona-Tas-2011-500-48"	48	"to annoy"	2892	"MAKE ANGRY (ANNOY)"
"Rona-Tas-2011-500-49"	49	"revenge"	495	"REVENGE"
"Rona-Tas-2011-500-50"	50	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-51"	51	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-52"	52	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-53"	53	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-54"	54	"a kind of beer, alcoholic beverage"	404	"ALCOHOL (FERMENTED DRINK)"
"Rona-Tas-2011-500-55"	55	"rich; abundant, roomy"	712	"RICH"
"Rona-Tas-2011-500-56"	56	"horsefly, gadfly"	3262	"HORSEFLY"
"Rona-Tas-2011-500-57"	57	"fast(ing)"	1631	"FAST"
"Rona-Tas-2011-500-58"	58	"wise"	698	"WISE"
"Rona-Tas-2011-500-59"	59	"cradle"	2946	"CRADLE"
"Rona-Tas-2011-500-60"	60	"bison"	3142	"BISON"
"Rona-Tas-2011-500-61"	61	"prison, jail"	1281	"PRISON"
"Rona-Tas-2011-500-62"	62	"sad, bad-tempered"	699	"SAD"
"Rona-Tas-2011-500-63"	63	"farewell, indulgence, dedication festival, annual parish-feast"	3554	"GOODBYE"
"Rona-Tas-2011-500-64"	64	"ox; also ox, goat, ram without or with small or unusual horns;stupid"	1502	"GOAT"
"Rona-Tas-2011-500-65"	65	"steam, vapour, fumes; heat"	1193	"STEAM"
"Rona-Tas-2011-500-66"	66	"wheat, Triticum"	1077	"WHEAT"
"Rona-Tas-2011-500-67"	67	"club, mace, reed-mace"	1763	"CLUB"
"Rona-Tas-2011-500-68"	68	"beech"	1950	"BEECH"
"Rona-Tas-2011-500-69"	69	"sin"	2971	"SIN"
"Rona-Tas-2011-500-70"	70	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
