Row	Comment
West Old Turkic1	FALSE
West Old Turkic2	TRUE
West Old Turkic3	FALSE
West Old Turkic4	FALSE
West Old Turkic5	TRUE
West Old Turkic6	TRUE
West Old Turkic7	TRUE
West Old Turkic8	TRUE
West Old Turkic9	TRUE
West Old Turkic10	TRUE
West Old Turkic11	TRUE
West Old Turkic12	FALSE
West Old Turkic13	TRUE
West Old Turkic14	FALSE
West Old Turkic15	FALSE
West Old Turkic16	FALSE
West Old Turkic17	TRUE
West Old Turkic18	TRUE
West Old Turkic19	FALSE
West Old Turkic20	FALSE
West Old Turkic21	FALSE
West Old Turkic22	TRUE
West Old Turkic23	FALSE
West Old Turkic24	TRUE
West Old Turkic25	FALSE
West Old Turkic26	TRUE
West Old Turkic27	TRUE
West Old Turkic28	TRUE
West Old Turkic29	TRUE
West Old Turkic30	FALSE
West Old Turkic31	FALSE
West Old Turkic32	TRUE
West Old Turkic33	TRUE
West Old Turkic34	FALSE
West Old Turkic35	FALSE
West Old Turkic36	TRUE
West Old Turkic37	TRUE
West Old Turkic38	FALSE
West Old Turkic39	TRUE
West Old Turkic40	TRUE
West Old Turkic41	TRUE
West Old Turkic42	TRUE
West Old Turkic43	TRUE
West Old Turkic44	FALSE
West Old Turkic45	TRUE
West Old Turkic46	FALSE
West Old Turkic47	FALSE
West Old Turkic48	TRUE
West Old Turkic49	FALSE
West Old Turkic50	FALSE
West Old Turkic51	FALSE
West Old Turkic52	TRUE
West Old Turkic53	TRUE
West Old Turkic54	FALSE
West Old Turkic55	TRUE
West Old Turkic56	TRUE
West Old Turkic57	TRUE
West Old Turkic58	TRUE
West Old Turkic59	TRUE
West Old Turkic60	TRUE
West Old Turkic61	TRUE
West Old Turkic62	TRUE
West Old Turkic63	TRUE
West Old Turkic64	TRUE
West Old Turkic65	FALSE
West Old Turkic66	TRUE
West Old Turkic67	TRUE
West Old Turkic68	TRUE
West Old Turkic69	TRUE
West Old Turkic70	TRUE
West Old Turkic71	TRUE
West Old Turkic72	TRUE
West Old Turkic73	TRUE
West Old Turkic74	FALSE
West Old Turkic75	FALSE
West Old Turkic76	TRUE
West Old Turkic77	TRUE
West Old Turkic78	TRUE
West Old Turkic79	TRUE
West Old Turkic80	TRUE
West Old Turkic81	FALSE
West Old Turkic82	TRUE
West Old Turkic83	FALSE
West Old Turkic84	TRUE
West Old Turkic85	FALSE
West Old Turkic86	FALSE
West Old Turkic87	TRUE
West Old Turkic88	TRUE
West Old Turkic89	TRUE
West Old Turkic90	TRUE
West Old Turkic91	FALSE
West Old Turkic92	FALSE
West Old Turkic93	TRUE
West Old Turkic94	TRUE
West Old Turkic95	FALSE
West Old Turkic96	TRUE
West Old Turkic97	TRUE
West Old Turkic98	TRUE
West Old Turkic99	FALSE
West Old Turkic100	TRUE
West Old Turkic101	TRUE
West Old Turkic102	TRUE
West Old Turkic103	TRUE
West Old Turkic104	TRUE
West Old Turkic105	TRUE
West Old Turkic106	TRUE
West Old Turkic107	FALSE
West Old Turkic108	FALSE
West Old Turkic109	FALSE
West Old Turkic110	TRUE
West Old Turkic111	TRUE
