Target_Form,Source_Form,Cognacy,guesses,best_guess
aɣat͡ʃi,aːt͡ʃ,1,inf,aːnɒt͡ʃ
aldaɣ,aːɟuː,2,inf,aːldɒ
ajan,ɒjnaːroz,3,inf,aːjɒɲ
aːl,aːl,6,1.0,aːl
alat͡ʃ,ɒlɒt͡ʃ,7,5.0,ɒlɒt͡ʃ
alat͡ʃ,ɒlɒt͡ʃ,8,5.0,ɒlɒt͡ʃ
alat͡ʃ,ɒlɒt͡ʃ,9,5.0,ɒlɒt͡ʃ
alat͡ʃ,ɒlɒt͡ʃ,10,5.0,ɒlɒt͡ʃ
alma,ɒlmɒ,11,4.0,ɒlmɒ
altalaɡ,aːltɒlɒɡ,12,1.0,aːltɒlɒɡ
altalaɡ,aːtɒlɒɡ,13,inf,aːltɒlɒɡ
op,aːpol,14,31.0,aːpol
oporo,aːporodik,15,inf,ɒporoː
opuruɣ,ɒproː,16,inf,aːporo
orat,ɒrɒt,17,5.0,ɒrɒt
orat,ɒrɒt,18,5.0,ɒrɒt
aːr,aːrik,19,2.0,aːrik
aːrtat,aːrt,20,inf,aːrtɒt
arkan,aːrkaːɲ,21,9.0,aːrkaːɲ
aːruk,aːrok,22,1.0,aːrok
arpa,aːrpɒ,23,inf,aːrɒ
aritan,aːrtaːɲ,24,inf,aːritɒɲ
aski,aːsok,25,inf,sk not old
baj,baːj,26,3.0,baːj
balkan,bɒlkaːɲ,27,7.0,bɒlkaːɲ
balta,bɒltɒ,28,1.0,bɒltɒ
balvan,baːlvaːɲ,29,inf,lv not old
baɣin,baːn,31,inf,bɒniɲ
baraɡ,bɒraːɡ,32,4.0,bɒraːɡ
baːsa,baːrt͡sɒ,33,inf,baːsɒ
barum,bɒrom,34,1.0,bɒrom
bart͡ʃun,baːrʃoɲ,35,29.0,baːrʃoɲ
bas,bɒsik,36,2.0,bɒsik
baɣatur,baːtor,37,inf,bɒnɒtor
bɛt͡ʃɛl,bet͡ʃyl,38,inf,bɛt͡ʃɛl
baka,beːkɒ,39,inf,bɒkɒ
bikaɣu,beːkoː,40,inf,bikɒnu
bikaɣu,beːkjoː,41,inf,bikɒnu
bɛlɛɡ,beːjɛɡ,42,16.0,beːjɛɡ
beːry,beːr,43,1.0,beːr
bɛrsil,bɛrt͡sɛl,44,inf,bɛrzil
byrtiɣ,bɛrtyː,45,90.0,bɛrtyː
bɛʃɛ,bɛʃɛ,46,1.0,bɛʃɛ
bɛʃɛnɛɣ,bɛʃɛɲøː,47,8.0,bɛʃɛɲøː
bitiɣ,bɛtyː,48,14.0,bɛtyː
bit͡ʃak,bit͡ʃɒk,49,1.0,bit͡ʃɒk
bit͡ʃak,bit͡ʃɒk,50,1.0,bit͡ʃɒk
bit͡ʃak,bit͡ʃɒk,51,1.0,bit͡ʃɒk
bika,bikɒ,52,1.0,bikɒ
bilɛt͡ʃɛk,bilint͡ʃ,53,inf,bilɛt͡ʃɛk
biruɣ,biːroː,54,27.0,biːroː
bolt͡ʃan,bot͡ʃaːnik,55,137.0,bot͡ʃaːnik
bult͡ʃat,bot͡ʃaːt,56,6.0,bot͡ʃaːt
baldav,boːdɒ,57,inf,bɒldɒ
boɡ,boɡ,58,1.0,boɡ
boɡul,boɡjɒ,59,inf,boɡol
buɣut,bojt,60,inf,bonot
balturɣan,bojtorjaːn,61,inf,bɒtorjɒɲ
baka,bokɒ,62,49.0,bokɒ
bokɒ,bɒkɒnt͡ʃ,63,121.0,bɒkɒnt͡ʃ
bɒkɒ,bɒkɒnt͡ʃ,64,41.0,bɒkɒnt͡ʃ
boɣol,boj,65,inf,bonol
bor,bor,66,1.0,bor
bor,boriːt,67,inf,bor
bur,bur,68,3.0,bur
buraɣu,borjuː,69,inf,borɒnu
