Language_ID	Grapheme	Orthography	IPA
EAH	aγači		a ɣ a t͡ʃ i
EAH	aldaγ		a l d a ɣ
EAH	ayan		a j a n
EAH	āl		aː l
EAH	alač		a l a t͡ʃ
EAH	alma		a l m a
EAH	altalag		a l t a l a ɡ
EAH	op		o p
EAH	oporo		o p o r o
EAH	opuruγ		o p u r u ɣ
EAH	orat		o r a t
EAH	ār		aː r
EAH	ārtat		aː r t a t
EAH	arkan		a r k a n
EAH	āruk		aː r u k
EAH	arpa		a r p a
EAH	aritan		a r i t a n
EAH	aski		a s k i
EAH	bay		b a j
EAH	balkan		b a l k a n
EAH	balta		b a l t a
EAH	balvan		b a l v a n
EAH	baγin		b a ɣ i n
EAH	barag		b a r a ɡ
EAH	bāsa		b aː s a
EAH	barum		b a r u m
EAH	barčun		b a r t͡ʃ u n
EAH	bas		b a s
EAH	baγatur		b a ɣ a t u r
EAH	bečel		b ɛ t͡ʃ ɛ l
EAH	baka		b a k a
EAH	bikaγu		b i k a ɣ u
EAH	beleg		b ɛ l ɛ ɡ
EAH	bērü		b eː r y
EAH	bersil		b ɛ r s i l
EAH	bürtiγ		b y r t i ɣ
EAH	beše		b ɛ ʃ ɛ
EAH	bešeneγ		b ɛ ʃ ɛ n ɛ ɣ
EAH	bitiγ		b i t i ɣ
EAH	bičak		b i t͡ʃ a k
EAH	bika		b i k a
EAH	bileček		b i l ɛ t͡ʃ ɛ k
EAH	biruγ		b i r u ɣ
EAH	bolčan		b o l t͡ʃ a n
EAH	bulčat		b u l t͡ʃ a t
EAH	baldaw		b a l d a v
EAH	bog		b o ɡ
EAH	bogul		b o ɡ u l
EAH	buγut		b u ɣ u t
EAH	balturγan		b a l t u r ɣ a n
EAH	bokå		b o k ɒ
EAH	båkå		b ɒ k ɒ
EAH	boγol		b o ɣ o l
EAH	bor		b o r
EAH	bur		b u r
EAH	buraγu		b u r a ɣ u
EAH	burč		b u r t͡ʃ
EAH	burčaγ		b u r t͡ʃ a ɣ
EAH	borsi		b o r s i
EAH	basarkan		b a s a r k a n
EAH	busan		b u s a n
EAH	bosuγ		b o s u ɣ
EAH	butiγ		b u t i ɣ
EAH	boza		b o z a
EAH	beγ		b ɛ ɣ
EAH	bögölök		b ø ɡ ø l ø k
EAH	büγte		b y ɣ t ɛ
EAH	büγüči		b y ɣ y t͡ʃ i
EAH	belčeγ		b ɛ l t͡ʃ ɛ ɣ
EAH	belen		b ɛ l ɛ n
EAH	berten		b ɛ r t ɛ n
EAH	buγ		b u ɣ
EAH	bulčuγ		b u l t͡ʃ u ɣ
EAH	buga		b u ɡ a
EAH	bular		b u l a r
EAH	būs		b uː s
EAH	buγzai		b u ɣ z a i
EAH	buzgan		b u z ɡ a n
EAH	bik		b i k
EAH	bǖn		b yː n
EAH	bütüγ		b y t y ɣ
EAH	büγü		b y ɣ y
EAH	čigle		t͡ʃ i ɡ l ɛ
EAH	čikle		t͡ʃ i k l ɛ
EAH	čigla		t͡ʃ i ɡ l a
EAH	sütken		s y t k ɛ n
EAH	süttegen		s y tː ɛ ɡ ɛ n
EAH	čabak		t͡ʃ a b a k
EAH	čak		t͡ʃ a k
EAH	čakan		t͡ʃ a k a n
EAH	čalān		t͡ʃ a l aː n
EAH	čilān		t͡ʃ i l aː n
EAH	čalaγan		t͡ʃ a l a ɣ a n
EAH	čalit		t͡ʃ a l i t
EAH	čanak		t͡ʃ a n a k
EAH	čata		t͡ʃ a t a
EAH	čat		t͡ʃ a t
EAH	čati		t͡ʃ a t i
EAH	čëč		t͡ʃ e t͡ʃ
EAH	čëček		t͡ʃ e t͡ʃ ɛ k
EAH	čik		t͡ʃ i k
EAH	čöpüγ		t͡ʃ ø p y ɣ
