Grapheme	IPA
^ács$	aː t͡ʃ
^ágyú$	aː ɟ uː
^ajn$	ɒ j n
^ákos$	aː k o ʃ
^ágos$	aː ɡ o ʃ
^ál$	aː l
^alacs$	ɒ l ɒ t͡ʃ
^alma$	ɒ l m ɒ
^általag$	aː l t ɒ l ɒ ɡ
^átalag$	aː t ɒ l ɒ ɡ
^áp$	aː p
^áporo$	aː p o r o
^apró$	ɒ p r oː
^arat$	ɒ r ɒ t
^ár$	aː r
^árt$	aː r t
^árkány$	aː r k aː ɲ
^árok$	aː r o k
^árpa$	aː r p ɒ
^ártány$	aː r t aː ɲ
^ászok$	aː s o k
^báj$	b aː j
^balkány$	b ɒ l k aː ɲ
^balta$	b ɒ l t ɒ
^bálvány$	b aː l v aː ɲ
^bán$	b aː n
^barág$	b ɒ r aː ɡ
^bárca$	b aː r t͡s ɒ
^barom$	b ɒ r o m
^bársony$	b aː r ʃ o ɲ
^basz$	b ɒ s
^bátor$	b aː t o r
^bëcsül$	b e t͡ʃ y l
^béka$	b eː k ɒ
^békó$	b eː k oː
^béklyó$	b eː k j oː
^bélyeg$	b eː j ɛ ɡ
^bér$	b eː r
^bercel$	b ɛ r t͡s ɛ l
^bertű$	b ɛ r t yː
^bese$	b ɛ ʃ ɛ
^besenyő$	b ɛ ʃ ɛ ɲ øː
^betű$	b ɛ t yː
^bicsak$	b i t͡ʃ ɒ k
^bika$	b i k ɒ
^bilincs$	b i l i n t͡ʃ
^bíró$	b iː r oː
^bocsán$	b o t͡ʃ aː n
^bocsát$	b o t͡ʃ aː t
^bóda$	b oː d ɒ
^bog$	b o ɡ
^boglya$	b o ɡ j ɒ
^bojt$	b o j t
^bojtorján$	b o j t o r j aː n
^boka$	b o k ɒ
^bakan$	b ɒ k ɒ n
^boly$	b o j
^bor$	b o r
^bur$	b u r
^borjú$	b o r j uː
^bors$	b o r ʃ
^borsó$	b o r ʃ oː
^borz$	b o r z
^boszorkány$	b o s o r k aː ɲ
^bosszan$	b o sː ɒ n
^bosszú$	b o sː uː
^bot$	b o t
^but$	b u t
^boza$	b o z ɒ
^bő$	b øː
^bögöly$	b ø ɡ ø j
^böjt$	b ø j t
^bölcs$	b ø l t͡ʃ
^bölcső$	b ø l t͡ʃ øː
^bölény$	b ø l eː ɲ
^börtön$	b ø r t ø n
^böszörmény$	b ø s ø r m eː ɲ
^bús$	b uː ʃ
^búcsú$	b uː t͡ʃ uː
^buga$	b u ɡ ɒ
^bular$	b u l ɒ r
^búsz$	b uː s
^búza$	b uː z ɒ
^buzogány$	b u z o ɡ aː ɲ
^bükk$	b y kː
^bűn$	b yː n
^bütü$	b y t y
^bű$	b yː
^cigle$	t͡s i ɡ l ɛ
^csigle$	t͡ʃ i ɡ l ɛ
^csekle$	t͡ʃ ɛ k l ɛ
