Language_ID	Grapheme	Orthography	IPA
LAH	aldau̯		a l d a w
LAH	börteü̯		b ø r t ɛ w
LAH	bogulʹa		b o ɡ u j a
LAH	buγt		b u ɣ t
LAH	butī		b u t iː
LAH	butu		b u t u
LAH	bögölʹök		b ø ɡ ø j ø k
LAH	bulčū		b u l t͡ʃ uː
LAH	čat		t͡ʃ a t
LAH	čëč		t͡ʃ e t͡ʃ
LAH	čöpüγ		t͡ʃ ø p y ɣ
LAH	ǰiγau̯		d͡ʒʲ i ɣ a w
LAH	ečü		ɛ t͡ʃ y
LAH	küdʹeü̯		k y ɟ ɛ w
LAH	küzeγü		k y z ɛ ɣ y
LAH	ǰarap		d͡ʒʲ a r a p
LAH	ǰünǰü		d͡ʒʲ y n d͡ʒʲ y
LAH	dʹeü̯le		ɟ ɛ w l ɛ
LAH	dʹemilč		ɟ ɛ m i l t͡ʃ
LAH	üdeü̯		y d ɛ w
LAH	kåråmō		k ɒ r ɒ m oː
LAH	kiči		k i t͡ʃ i
LAH	kiyic		k i j i t͡s
LAH	kölek		k ø l ɛ k
LAH	kömdörök		k ø m d ø r ø k
LAH	köpčȫ		k ø p t͡ʃ øː
LAH	köpekče		k ø p ɛ k t͡ʃ ɛ
LAH	kölliγ		k ø lː i ɣ
LAH	küvȫ		k y v øː
LAH	učou̯		u t͡ʃ o w
LAH	učau̯		u t͡ʃ a w
LAH	uvru		u v r u
LAH	ačk		a t͡ʃ k
LAH	ȫr		øː r
LAH	ewir		ɛ v i r
LAH	čawlim		t͡ʃ a v l i m
LAH	sapau̯		s a p a w
LAH	satiwči		s a t i v t͡ʃ i
LAH	sirum		s i r u m
LAH	sökśȫ		s ø k s øː
LAH	siwči		s i v t͡ʃ i
LAH	toplau̯		t o p l a w
LAH	tuγik		t u ɣ i k
LAH	toro		t o r o
LAH	tökē		t ø k eː
LAH	tǖr		t yː r
LAH	türk		t y r k
LAH	türγen		t y r ɣ ɛ n
LAH	tiwuk		t i v u k
LAH	edül		ɛ d y l
LAH	idnep		i d n ɛ p
LAH	ineü		i n ɛ y
LAH	vālū		v aː l uː
