Language_ID	Grapheme	Orthography	IPA
OH	āldʹū		aː l ɟ uː
OH	apol		a p o l
OH	oprau̯		o p r a w
OH	ask		a s k
OH	baršun		b a r ʃ u n
OH	bēlʹeg		b eː j ɛ ɡ
OH	bercel		b ɛ r t͡s ɛ l
OH	börtǖ		b ø r t yː
OH	bešeneü̯		b ɛ ʃ ɛ n ɛ w
OH	beteü̯		b ɛ t ɛ w
OH	bilinček		b i l i n t͡ʃ ɛ k
OH	birō		b i r oː
OH	bočan		b o t͡ʃ a n
OH	bulšat		b u l ʃ a t
OH	boldå		b o l d ɒ
OH	boglʹå		b o ɡ j ɒ
OH	buyt		b u j t
OH	bolʹ		b o j
OH	burγu		b u r ɣ u
OH	buršau̯		b u r ʃ a w
OH	bossou̯		b o sː o w
OH	buti		b u t i
OH	beü̯		b ɛ w
OH	bögölʹ		b ø ɡ ø j
OH	büχt		b y χ t
OH	bȫč		b øː t͡ʃ
OH	belčȫ		b ɛ l t͡ʃ øː
OH	belēń		b ɛ l eː ɲ
OH	besermen		b ɛ s ɛ r m ɛ n
OH	bū		b uː
OH	bulčū		b u l t͡ʃ uː
OH	būza		b uː z a
OH	bük		b y k
OH	bǖ		b yː
OH	čigolʹa		t͡ʃ i ɡ o j a
OH	čatol		t͡ʃ a t o l
OH	čåtol		t͡ʃ ɒ t o l
OH	ček		t͡ʃ ɛ k
OH	čöpǖ		t͡ʃ ø p yː
OH	čepǖ		t͡ʃ ɛ p yː
OH	čapa		t͡ʃ a p a
OH	čök		t͡ʃ ø k
OH	čököń		t͡ʃ ø k ø ɲ
OH	čuńa		t͡ʃ u ɲ a
OH	čǖri		t͡ʃ yː r i
OH	ǰiwo		d͡ʒʲ i v o
OH	dǖl		d yː l
OH	eneü̯		ɛ n ɛ w
OH	ereü̯		ɛ r ɛ w
OH	ešü		ɛ ʃ y
OH	iškü		i ʃ k y
OH	kāz		k aː z
OH	güden		ɡ y d ɛ n
OH	küdʹǖ		k y ɟ yː
OH	güzǖ		ɡ y z yː
OH	dʹala		ɟ a l a
OH	ǰanau̯		d͡ʒʲ a n a w
OH	ǰapyu		d͡ʒʲ a p j u
OH	dʹåråp		ɟ ɒ r ɒ p
OH	ǰarlou̯		d͡ʒʲ a r l o w
OH	dʹarat		ɟ a r a t
OH	ǰās		d͡ʒʲ aː s
OH	ǰepleü̯		d͡ʒʲ ɛ p l ɛ w
OH	ǰepeü̯		d͡ʒʲ ɛ p ɛ w
OH	ǰartān		d͡ʒʲ a r t aː n
OH	dʹumur		ɟ u m u r
OH	dʹun		ɟ u n
OH	dʹuvun		ɟ u v u n
OH	ǰupar		d͡ʒʲ u p a r
OH	ǰünǰ		d͡ʒʲ y n d͡ʒʲ
OH	ǰütür		d͡ʒʲ y t y r
OH	dʹēz		ɟ eː z
OH	dʹīl		ɟ iː l
OH	dʹǖle		ɟ yː l ɛ
OH	dʹömölč		ɟ ø m ø l t͡ʃ
OH	dʹemilčen		ɟ ɛ m i l t͡ʃ ɛ n
OH	dʹereü̯		ɟ ɛ r ɛ w
OH	dʹüreü̯		ɟ y r ɛ w
OH	humuki		h u m u k i
OH	üdȫ		y d øː
OH	iye		i j ɛ
OH	vimad		v i m a d
OH	ümeg		y m ɛ ɡ
OH	irō		i r oː
OH	izi		i z i
OH	kåråńō		k ɒ r ɒ ɲ oː
OH	kåpkāń		k ɒ p k aː ɲ
OH	kapū		k a p uː
OH	kårou̯		k ɒ r o w
OH	karakatona		k a r a k a t o n a
OH	kelinǰe		k ɛ l i n d͡ʒʲ ɛ
OH	kevreγ		k ɛ v r ɛ ɣ
OH	kešeleü̯		k ɛ ʃ ɛ l ɛ w
OH	kēš		k eː ʃ
OH	kiši		k i ʃ i
OH	kīyc		k iː j t͡s
OH	kikörčen		k i k ø r t͡ʃ ɛ n
OH	kumlau̯		k u m l a w
OH	korou̯		k o r o w
OH	kosmā		k o s m aː
OH	kildik		k i l d i k
OH	kölʹök		k ø j ø k
OH	kelǖ		k ɛ l yː
OH	köndrög		k ø n d r ø ɡ
OH	köńüγ		k ø ɲ y ɣ
OH	köpčöš		k ø p t͡ʃ ø ʃ
OH	köpečke		k ø p ɛ t͡ʃ k ɛ
OH	küpǖ		k y p yː
OH	kǖriš		k yː r i ʃ
OH	kërtveli		k e r t v ɛ l i
OH	kertmeli		k ɛ r t m ɛ l i
OH	kūn		k uː n
OH	külliγ		k y lː i ɣ
OH	külȫ		k y l øː
OH	mōnār		m oː n aː r
OH	učū		u t͡ʃ uː
OH	ok		o k
OH	oγul		o ɣ u l
OH	ōčō		oː t͡ʃ oː
OH	oγlou̯		o ɣ l o w
OH	ondau̯		o n d a w
OH	uršū		u r ʃ uː
OH	urvu		u r v u
OH	urvoš		u r v o ʃ
OH	ošk		o ʃ k
OH	ökür		ø k y r
OH	ölʹü		ø j y
OH	ön		ø n
OH	ör		ø r
OH	eü̯ril		ɛ w r i l
OH	ȫr		øː r
OH	eürem		ɛ y r ɛ m
OH	šaχt		ʃ a χ t
OH	šarog		ʃ a r o ɡ
OH	šarū		ʃ a r uː
OH	šatur		ʃ a t u r
OH	čeprȫ		t͡ʃ ɛ p r øː
OH	šerig		ʃ ɛ r i ɡ
OH	širte		ʃ i r t ɛ
OH	šīd		ʃ iː d
OH	šolʹom		ʃ o j o m
OH	šum		ʃ u m
OH	šomlyō		ʃ o m j oː
OH	šer		ʃ ɛ r
OH	šilleü		ʃ i lː ɛ y
OH	šǖlʹ		ʃ yː j
OH	šireü̯		ʃ i r ɛ w
OH	šiv		ʃ i v
OH	sān		s aː n
OH	sapū		s a p uː
OH	satōč		s a t oː t͡ʃ
OH	siron		s i r o n
OH	sirom		s i r o m
OH	sökče		s ø k t͡ʃ ɛ
OH	sök		s ø k
OH	seleγ		s ɛ l ɛ ɣ
OH	selleγ		s ɛ lː ɛ ɣ
OH	sunug		s u n u ɡ
OH	seü̯či		s ɛ w t͡ʃ i
OH	sün		s y n
OH	süz		s y z
OH	taltuš		t a l t u ʃ
OH	tāplā		t aː p l aː
OH	tåplou̯		t ɒ p l o w
OH	tāturyan		t aː t u r j a n
OH	tekenȫ		t ɛ k ɛ n øː
OH	teng		t ɛ n ɡ
OH	tēr		t eː r
OH	talō		t a l oː
OH	tuik		t u i k
OH	toklʹu		t o k j u
OH	torol		t o r o l
OH	turuntalʹ		t u r u n t a j
OH	tat		t a t
OH	tökēl		t ø k eː l
OH	tömēń		t ø m eː ɲ
OH	tȫr		t øː r
OH	türük		t y r y k
OH	törtēn		t ø r t eː n
OH	türven		t y r v ɛ n
OH	turō		t u r oː
OH	tūrul		t uː r u l
OH	tiuk		t i u k
OH	idül		i d y l
OH	üdnep		y d n ɛ p
OH	inȫ		i n øː
OH	ürim		y r i m
OH	irim		i r i m
OH	irǖ		i r yː
OH	valʹū		v a j uː
