ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
325	H	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütü	bütü	b y t y	
326	EAH	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütüγ	bütüγ	b y t y ɣ	
327	WOT	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütüγ	bütüγ	b y t y ɣ	
381	H	(silver) cup, wooden ladle, earthenware bowl	csanak	csanak	t͡ʃ ɒ n ɒ k	
382	EAH	(silver) cup, wooden ladle, earthenware bowl	čanak	čanak	t͡ʃ a n a k	
383	WOT	(silver) cup, wooden ladle, earthenware bowl	čanak	čanak	t͡ʃ a n a k	
1189	H	Armenian	örmény	örmény	ø r m eː ɲ	See headword ÖRMÉNY¹ in original
1190	EAH	Armenian	ermeni	ermeni	ɛ r m ɛ n i	See headword ÖRMÉNY¹ in original
1191	WOT	Armenian	ärmäni	ärmäni	ɛ r m ɛ n i	See headword ÖRMÉNY¹ in original
292	H	Ismaelite, name of an ethnic group in Medieval Hungary	böszörmény	böszörmény	b ø s ø r m eː ɲ	On p. 177 the etymology reads 'bösörmēń < *besermen ← *besermen'. I assumed this must be in fact 'bösörmēń < *besermen ← WOT *besermen'
293	OH	Ismaelite, name of an ethnic group in Medieval Hungary	besermen	besermen	b ɛ s ɛ r m ɛ n	On p. 177 the etymology reads 'bösörmēń < *besermen ← *besermen'. I assumed this must be in fact 'bösörmēń < *besermen ← WOT *besermen'
294	WOT	Ismaelite, name of an ethnic group in Medieval Hungary	besermen	besermen	b ɛ s ɛ r m ɛ n	On p. 177 the etymology reads 'bösörmēń < *besermen ← *besermen'. I assumed this must be in fact 'bösörmēń < *besermen ← WOT *besermen'
141	H	Pecheneg, name of a tribe	besenyő	besenyő	b ɛ ʃ ɛ ɲ øː	
142	OH	Pecheneg, name of a tribe	bešeneü̯	bešeneü̯	b ɛ ʃ ɛ n ɛ w	
143	EAH	Pecheneg, name of a tribe	bešeneγ	bešeneγ	b ɛ ʃ ɛ n ɛ ɣ	
144	WOT	Pecheneg, name of a tribe	bäčänäg	bäčänäg	b ɛ t͡ʃ ɛ n ɛ ɡ	
1144	H	Russian	orosz	orosz	o r o s	
1145	EAH	Russian	urus	urus	u r u s	
1146	WOT	Russian	urus	urus	u r u s	
1611	H	Slovak	tót	tót	t oː t	
1612	OH	Slovak	tat	tat	t a t	
1613	EAH	Slovak	tāt	tāt	t aː t	
1614	WOT	Slovak	tāt	tāt	t aː t	
1516	H	Tatar	tatár	tatár	t ɒ t aː r	
1517	EAH	Tatar	tatar	tatar	t a t a r	
1518	WOT	Tatar	tatar	tatar	t a t a r	
1632	H	Turk, Turkish, Turkic, Ottoman	török	török	t ø r ø k	
1633	OH	Turk, Turkish, Turkic, Ottoman	türük	türük	t y r y k	
1634	LAH	Turk, Turkish, Turkic, Ottoman	türk	türk	t y r k	
1635	EAH	Turk, Turkish, Turkic, Ottoman	türkü	türkü	t y r k y	
1636	WOT	Turk, Turkish, Turkic, Ottoman	türkü	türkü	t y r k y	
306	H	Volga Bulgar	bular	bular	b u l ɒ r	
307	EAH	Volga Bulgar	bular	bular	b u l a r	
308	WOT	Volga Bulgar	bular	bular	b u l a r	
138	H	a bird of prey	bese	bese	b ɛ ʃ ɛ	
139	EAH	a bird of prey	beše	beše	b ɛ ʃ ɛ	
140	WOT	a bird of prey	bäšä	bäšä	b ɛ ʃ ɛ	
956	H	a bird similar to a falcon, a kind of bird of prey	kiköcsény	kiköcsény	k i k ø t͡ʃ eː ɲ	
957	OH	a bird similar to a falcon, a kind of bird of prey	kikörčen	kikörčen	k i k ø r t͡ʃ ɛ n	
958	EAH	a bird similar to a falcon, a kind of bird of prey	kükerčen	kükerčen	k y k ɛ r t͡ʃ ɛ n	
959	WOT	a bird similar to a falcon, a kind of bird of prey	kökärčän	kökärčän	k ø k ɛ r t͡ʃ ɛ n	
446	H	a carpenters axe with a long helve	csomak	csomak	t͡ʃ o m ɒ k	
447	EAH	a carpenters axe with a long helve	čomak	čomak	t͡ʃ o m a k	
448	WOT	a carpenters axe with a long helve	čomak	čomak	t͡ʃ o m a k	
1094	H	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	küllő	küllő	k y lː øː	
1095	OH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	külliγ	külliγ	k y lː i ɣ	
1096	LAH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	kölliγ	kölliγ	k ø lː i ɣ	
1097	EAH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	köligeliγ	köligeliγ	k ø l i ɡ ɛ l i ɣ	
1098	WOT	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	köligäliγ	köligäliγ	k ø l i ɡ ɛ l i ɣ	
358	H	a fish, Leuciscus souffia agassizi	csabak	csabak	t͡ʃ ɒ b ɒ k	
359	EAH	a fish, Leuciscus souffia agassizi	čabak	čabak	t͡ʃ a b a k	
879	H	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kárókatona	kárókatona	k aː r oː k ɒ t o n ɒ	
880	OH	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara katona	karakatona	k a r a k a t o n a	
881	EAH	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara kotan	karakotan	k a r a k o t a n	
882	WOT	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara kotan	karakotan	k a r a k o t a n	
1739	H	a hole in the ice (for fishing)	lék	lék	l eː k	
1740	EAH	a hole in the ice (for fishing)	vekü	vekü	v ɛ k y	
