['# KSL']	['ID', 'DOCULECT', 'CONCEPT', 'GlossID', 'Orthography', 'IPA', 'Tokens', 'CogID']
0	H	0_carpenter	1	ács	aːt͡ʃ	aː t͡ʃ	H-0_carpenter-1
#
1	EAH	0_carpenter	1	aγači	aɣat͡ʃi	a ɣ a t͡ʃ i	EAH-0_carpenter-1
2	WOT	0_carpenter	1	aγaččï	aɣat͡ʃːɯ	a ɣ a t͡ʃː ɯ	WOT-0_carpenter-1
#
3	H	1_cannoncatapult	2	ágyú	aːɟuː	aː ɟ uː	H-1_cannoncatapult-1
#
4	OH	1_cannoncatapult	2	āldʹū	aːlɟuː	aː l ɟ uː	OH-1_cannoncatapult-1
5	LAH	1_cannoncatapult	2	aldau̯	aldaw	a l d a w	LAH-1_cannoncatapult-1
6	EAH	1_cannoncatapult	2	aldaγ	aldaɣ	a l d a ɣ	EAH-1_cannoncatapult-1
7	WOT	1_cannoncatapult	2	aldaγ	aldaɣ	a l d a ɣ	WOT-1_cannoncatapult-1
#
8	H	2_tofondlepetcaress	3	ajn	ɒjn	ɒ j n	H-2_tofondlepetcaress-1
#
9	EAH	2_tofondlepetcaress	3	ayan	ajan	a j a n	EAH-2_tofondlepetcaress-1
10	WOT	2_tofondlepetcaress	3	ayan	ajan	a j a n	WOT-2_tofondlepetcaress-1
#
11	H	3_streamcurrent	4	ákos	aːkoʃ	aː k o ʃ	H-3_streamcurrent-1
#
12	H	3_streamcurrent	5	ágos	aːɡoʃ	aː ɡ o ʃ	H-3_streamcurrent-2
#
13	H	4_falseimitation	6	ál	aːl	aː l	H-4_falseimitation-1
#
14	EAH	4_falseimitation	6	āl	aːl	aː l	EAH-4_falseimitation-1
15	WOT	4_falseimitation	6	al	al	a l	WOT-4_falseimitation-1
#
16	H	5_piedofananimalscoat	7	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	H-5_piedofananimalscoat-1
#
17	EAH	5_piedofananimalscoat	7	alač	alat͡ʃ	a l a t͡ʃ	EAH-5_piedofananimalscoat-1
18	WOT	5_piedofananimalscoat	7	alačï	alat͡ʃɯ	a l a t͡ʃ ɯ	WOT-5_piedofananimalscoat-1
#
19	H	5_piedofananimalscoat	8	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	H-5_piedofananimalscoat-2
#
20	EAH	5_piedofananimalscoat	8	alač	alat͡ʃ	a l a t͡ʃ	EAH-5_piedofananimalscoat-2
21	WOT	5_piedofananimalscoat	8	alaču	alat͡ʃu	a l a t͡ʃ u	WOT-5_piedofananimalscoat-2
#
22	H	5_piedofananimalscoat	9	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	H-5_piedofananimalscoat-3
#
23	EAH	5_piedofananimalscoat	9	alač	alat͡ʃ	a l a t͡ʃ	EAH-5_piedofananimalscoat-3
24	WOT	5_piedofananimalscoat	9	alačo	alat͡ʃo	a l a t͡ʃ o	WOT-5_piedofananimalscoat-3
#
25	H	5_piedofananimalscoat	10	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	H-5_piedofananimalscoat-4
#
26	EAH	5_piedofananimalscoat	10	alač	alat͡ʃ	a l a t͡ʃ	EAH-5_piedofananimalscoat-4
27	WOT	5_piedofananimalscoat	10	ålåč	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	WOT-5_piedofananimalscoat-4
#
28	H	6_apple	11	alma	ɒlmɒ	ɒ l m ɒ	H-6_apple-1
#
29	EAH	6_apple	11	alma	alma	a l m a	EAH-6_apple-1
30	WOT	6_apple	11	alma	alma	a l m a	WOT-6_apple-1
#
31	H	7_barrelwoodencontainerandstandardquantity	12	általag	aːltɒlɒɡ	aː l t ɒ l ɒ ɡ	H-7_barrelwoodencontainerandstandardquantity-1
#
32	EAH	7_barrelwoodencontainerandstandardquantity	12	altalag	altalaɡ	a l t a l a ɡ	EAH-7_barrelwoodencontainerandstandardquantity-1
33	WOT	7_barrelwoodencontainerandstandardquantity	12	altïlïg	altɯlɯɡ	a l t ɯ l ɯ ɡ	WOT-7_barrelwoodencontainerandstandardquantity-1
#
34	H	7_barrelwoodencontainerandstandardquantity	13	átalag	aːtɒlɒɡ	aː t ɒ l ɒ ɡ	H-7_barrelwoodencontainerandstandardquantity-2
#
35	EAH	7_barrelwoodencontainerandstandardquantity	13	altalag	altalaɡ	a l t a l a ɡ	EAH-7_barrelwoodencontainerandstandardquantity-2
36	WOT	7_barrelwoodencontainerandstandardquantity	13	altïlïg	altɯlɯɡ	a l t ɯ l ɯ ɡ	WOT-7_barrelwoodencontainerandstandardquantity-2
#
37	H	8_tonursetakecareof	14	áp	aːp	aː p	H-8_tonursetakecareof-1
#
38	OH	8_tonursetakecareof	14	apol	apol	a p o l	OH-8_tonursetakecareof-1
39	EAH	8_tonursetakecareof	14	op	op	o p	EAH-8_tonursetakecareof-1
40	WOT	8_tonursetakecareof	14	op	op	o p	WOT-8_tonursetakecareof-1
#
41	H	9_todecayputrifyturnstale	15	áporo	aːporo	aː p o r o	H-9_todecayputrifyturnstale-1
#
42	EAH	9_todecayputrifyturnstale	15	oporo	oporo	o p o r o	EAH-9_todecayputrifyturnstale-1
43	WOT	9_todecayputrifyturnstale	15	opura	opura	o p u r a	WOT-9_todecayputrifyturnstale-1
#
44	H	10_smalltiny	16	apró	ɒproː	ɒ p r oː	H-10_smalltiny-1
#
