# KSL
ID	DOCULECT	CONCEPT	GlossID	Orthography	IPA	Tokens	CogID
#
0	H	0_carpenter	1	ács	aːt͡ʃ	aː t͡ʃ	1
1	EAH	0_carpenter	1	aγači	aɣat͡ʃi	a ɣ a t͡ʃ i	1
2	WOT	0_carpenter	1	aγaččï	aɣat͡ʃːɯ	a ɣ a t͡ʃː ɯ	1
#
3	H	1_cannoncatapult	2	ágyú	aːɟuː	aː ɟ uː	2
4	OH	1_cannoncatapult	2	āldʹū	aːlɟuː	aː l ɟ uː	2
5	LAH	1_cannoncatapult	2	aldau̯	aldaw	a l d a w	2
6	EAH	1_cannoncatapult	2	aldaγ	aldaɣ	a l d a ɣ	2
7	WOT	1_cannoncatapult	2	aldaγ	aldaɣ	a l d a ɣ	2
#
8	H	2_tofondlepetcaress	3	ajn	ɒjn	ɒ j n	3
9	EAH	2_tofondlepetcaress	3	ayan	ajan	a j a n	3
10	WOT	2_tofondlepetcaress	3	ayan	ajan	a j a n	3
#
11	H	3_streamcurrent	4	ákos	aːkoʃ	aː k o ʃ	4
#
12	H	3_streamcurrent	5	ágos	aːɡoʃ	aː ɡ o ʃ	5
#
13	H	4_falseimitation	6	ál	aːl	aː l	6
14	EAH	4_falseimitation	6	āl	aːl	aː l	6
15	WOT	4_falseimitation	6	al	al	a l	6
#
16	H	5_piedofananimalscoat	7	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	7
17	EAH	5_piedofananimalscoat	7	alač	alat͡ʃ	a l a t͡ʃ	7
18	WOT	5_piedofananimalscoat	7	alačï	alat͡ʃɯ	a l a t͡ʃ ɯ	7
#
19	H	5_piedofananimalscoat	8	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	8
20	EAH	5_piedofananimalscoat	8	alač	alat͡ʃ	a l a t͡ʃ	8
21	WOT	5_piedofananimalscoat	8	alaču	alat͡ʃu	a l a t͡ʃ u	8
#
22	H	5_piedofananimalscoat	9	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	9
23	EAH	5_piedofananimalscoat	9	alač	alat͡ʃ	a l a t͡ʃ	9
24	WOT	5_piedofananimalscoat	9	alačo	alat͡ʃo	a l a t͡ʃ o	9
#
25	H	5_piedofananimalscoat	10	alacs	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	10
26	EAH	5_piedofananimalscoat	10	alač	alat͡ʃ	a l a t͡ʃ	10
27	WOT	5_piedofananimalscoat	10	ålåč	ɒlɒt͡ʃ	ɒ l ɒ t͡ʃ	10
#
28	H	6_apple	11	alma	ɒlmɒ	ɒ l m ɒ	11
29	EAH	6_apple	11	alma	alma	a l m a	11
30	WOT	6_apple	11	alma	alma	a l m a	11
#
31	H	7_barrelwoodencontainerandstandardquantity	12	általag	aːltɒlɒɡ	aː l t ɒ l ɒ ɡ	12
32	EAH	7_barrelwoodencontainerandstandardquantity	12	altalag	altalaɡ	a l t a l a ɡ	12
33	WOT	7_barrelwoodencontainerandstandardquantity	12	altïlïg	altɯlɯɡ	a l t ɯ l ɯ ɡ	12
#
34	H	7_barrelwoodencontainerandstandardquantity	13	átalag	aːtɒlɒɡ	aː t ɒ l ɒ ɡ	13
35	EAH	7_barrelwoodencontainerandstandardquantity	13	altalag	altalaɡ	a l t a l a ɡ	13
36	WOT	7_barrelwoodencontainerandstandardquantity	13	altïlïg	altɯlɯɡ	a l t ɯ l ɯ ɡ	13
#
37	H	8_tonursetakecareof	14	áp	aːp	aː p	14
38	OH	8_tonursetakecareof	14	apol	apol	a p o l	14
39	EAH	8_tonursetakecareof	14	op	op	o p	14
40	WOT	8_tonursetakecareof	14	op	op	o p	14
#
41	H	9_todecayputrifyturnstale	15	áporo	aːporo	aː p o r o	15
42	EAH	9_todecayputrifyturnstale	15	oporo	oporo	o p o r o	15
43	WOT	9_todecayputrifyturnstale	15	opura	opura	o p u r a	15
#
44	H	10_smalltiny	16	apró	ɒproː	ɒ p r oː	16
45	OH	10_smalltiny	16	oprau̯	opraw	o p r a w	16
46	EAH	10_smalltiny	16	opuruγ	opuruɣ	o p u r u ɣ	16
47	WOT	10_smalltiny	16	opuruγ	opuruɣ	o p u r u ɣ	16
#
48	H	11_tomow	17	arat	ɒrɒt	ɒ r ɒ t	17
49	EAH	11_tomow	17	orat	orat	o r a t	17
50	WOT	11_tomow	17	orat	orat	o r a t	17
#
51	H	11_tomow	18	arat	ɒrɒt	ɒ r ɒ t	18
52	EAH	11_tomow	18	orat	orat	o r a t	18
53	WOT	11_tomow	18	or	or	o r	18
#
54	H	12_todecayputrefygobadoffoodwater	19	ár	aːr	aː r	19
55	EAH	12_todecayputrefygobadoffoodwater	19	ār	aːr	aː r	19
56	WOT	12_todecayputrefygobadoffoodwater	19	ar	ar	a r	19
#
57	H	13_toharm	20	árt	aːrt	aː r t	20
58	EAH	13_toharm	20	ārtat	aːrtat	aː r t a t	20
59	WOT	13_toharm	20	artat	artat	a r t a t	20
#
60	H	14_atypeoflasso	21	árkány	aːrkaːɲ	aː r k aː ɲ	21
61	EAH	14_atypeoflasso	21	arkan	arkan	a r k a n	21
#
62	H	15_ditchcanal	22	árok	aːrok	aː r o k	22
63	EAH	15_ditchcanal	22	āruk	aːruk	aː r u k	22
64	WOT	15_ditchcanal	22	aruk	aruk	a r u k	22
#
65	H	16_barleyhordeum	23	árpa	aːrpɒ	aː r p ɒ	23
66	EAH	16_barleyhordeum	23	arpa	arpa	a r p a	23
67	WOT	16_barleyhordeum	23	arpa	arpa	a r p a	23
#
68	H	17_barrow	24	ártány	aːrtaːɲ	aː r t aː ɲ	24
69	EAH	17_barrow	24	aritan	aritan	a r i t a n	24
70	WOT	17_barrow	24	arïtan	arɯtan	a r ɯ t a n	24
#
71	H	18_gauntrygantryforsupportingbarrels	25	ászok	aːsok	aː s o k	25
72	OH	18_gauntrygantryforsupportingbarrels	25	ask	ask	a s k	25
73	EAH	18_gauntrygantryforsupportingbarrels	25	aski	aski	a s k i	25
74	WOT	18_gauntrygantryforsupportingbarrels	25	askï	askɯ	a s k ɯ	25
#
75	H	19_charm	26	báj	baːj	b aː j	26
76	EAH	19_charm	26	bay	baj	b a j	26
77	WOT	19_charm	26	bay	baj	b a j	26
#
78	H	20_soggyplacemoorswampmarsh	27	balkány	bɒlkaːɲ	b ɒ l k aː ɲ	27
79	EAH	20_soggyplacemoorswampmarsh	27	balkan	balkan	b a l k a n	27
80	WOT	20_soggyplacemoorswampmarsh	27	balkan	balkan	b a l k a n	27
#
81	H	21_hatchetaxe	28	balta	bɒltɒ	b ɒ l t ɒ	28
82	EAH	21_hatchetaxe	28	balta	balta	b a l t a	28
83	WOT	21_hatchetaxe	28	balta	balta	b a l t a	28
#
84	H	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	bálvány	baːlvaːɲ	b aː l v aː ɲ	29
85	EAH	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	balvan	balvan	b a l v a n	29
86	WOT	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	balvan	balvan	b a l v a n	29
#
87	H	23_governorofcroatiagovernorofthesouthernmarches	30	bán	baːn	b aː n	30
88	WOT	23_governorofcroatiagovernorofthesouthernmarches	30	bayan	bajan	b a j a n	30
#
89	H	24_toregrettobesorry	31	bán	baːn	b aː n	31
90	EAH	24_toregrettobesorry	31	baγin	baɣin	b a ɣ i n	31
91	WOT	24_toregrettobesorry	31	bagïn	baɡɯn	b a ɡ ɯ n	31
#
92	H	25_hairybushyofdogsabighairydogasnoun	32	barág	bɒraːɡ	b ɒ r aː ɡ	32
93	EAH	25_hairybushyofdogsabighairydogasnoun	32	barag	baraɡ	b a r a ɡ	32
#
94	H	26_labeltag	33	bárca	baːrt͡sɒ	b aː r t͡s ɒ	33
95	EAH	26_labeltag	33	bāsa	baːsa	b aː s a	33
#
96	H	27_cattlelivestock	34	barom	bɒrom	b ɒ r o m	34
97	EAH	27_cattlelivestock	34	barum	barum	b a r u m	34
98	WOT	27_cattlelivestock	34	barum	barum	b a r u m	34
#
99	H	28_velvet	35	bársony	baːrʃoɲ	b aː r ʃ o ɲ	35
100	OH	28_velvet	35	baršun	barʃun	b a r ʃ u n	35
101	EAH	28_velvet	35	barčun	bart͡ʃun	b a r t͡ʃ u n	35
102	WOT	28_velvet	35	barčun	bart͡ʃun	b a r t͡ʃ u n	35
#
103	H	29_tofuck	36	basz	bɒs	b ɒ s	36
104	EAH	29_tofuck	36	bas	bas	b a s	36
105	WOT	29_tofuck	36	bas	bas	b a s	36
#
106	H	30_courageousbravevaliant	37	bátor	baːtor	b aː t o r	37
107	EAH	30_courageousbravevaliant	37	baγatur	baɣatur	b a ɣ a t u r	37
108	WOT	30_courageousbravevaliant	37	baγatur	baɣatur	b a ɣ a t u r	37
#
109	H	31_toestimatetoesteemtoappreciate	38	bëcsül	bet͡ʃyl	b e t͡ʃ y l	38
110	EAH	31_toestimatetoesteemtoappreciate	38	bečel	bɛt͡ʃɛl	b ɛ t͡ʃ ɛ l	38
111	WOT	31_toestimatetoesteemtoappreciate	38	bičil	bit͡ʃil	b i t͡ʃ i l	38
#
112	H	32_frog	39	béka	beːkɒ	b eː k ɒ	39
113	EAH	32_frog	39	baka	baka	b a k a	39
114	WOT	32_frog	39	baka	baka	b a k a	39
#
115	H	33_hobbleshacklelegiron	40	békó	beːkoː	b eː k oː	40
116	EAH	33_hobbleshacklelegiron	40	bikaγu	bikaɣu	b i k a ɣ u	40
117	WOT	33_hobbleshacklelegiron	40	bïkaγu	bɯkaɣu	b ɯ k a ɣ u	40
#
118	H	33_hobbleshacklelegiron	41	béklyó	beːkjoː	b eː k j oː	41
119	EAH	33_hobbleshacklelegiron	41	bikaγu	bikaɣu	b i k a ɣ u	41
120	WOT	33_hobbleshacklelegiron	41	bïkaγu	bɯkaɣu	b ɯ k a ɣ u	41
#
121	H	34_stampbondmark	42	bélyeg	beːjɛɡ	b eː j ɛ ɡ	42
122	OH	34_stampbondmark	42	bēlʹeg	beːjɛɡ	b eː j ɛ ɡ	42
123	EAH	34_stampbondmark	42	beleg	bɛlɛɡ	b ɛ l ɛ ɡ	42
124	WOT	34_stampbondmark	42	bäläg	bɛlɛɡ	b ɛ l ɛ ɡ	42
#
