sc	src	tgt	freq	CogID	forms
VC VCVCV	VC	VCVCV	1	1	ács aγači
VCV VCCVC	VCV	VCCVC	2	2, 338	ágyú aldaγ, olló oγlaγ
VCC VCVC	VCC	VCVC	3	3, 235, 350	ajn ayan, ing ümmeg, ölyv eliγ
VC VC	VC	VC	9	6, 14, 19, 166, 173, 233, 236, 334, 351	ál āl, áp op, ár ār, ér er, ész es, ill il, ír ir, ok uk, ön ün
VCVC VCVC	VCVC	VCVC	14	7, 17, 22, 174, 228, 231, 342, 348, 355, 364, 498, 501, 502, 503	alacs alač, arat orat, árok āruk, etel etil, igen egen, iker ikir, orosz urus, ökör ükür, örök ürük, özön üzen, üröm erim, üszök isüg, üszög isüg, üvecs öveč
VCCV VCCV	VCCV	VCCV	4	11, 23, 172, 497	alma alma, árpa arpa, eskü ičkü, ürge ürge
VCVCVC VCCVCVC	VCVCVC	VCCVCVC	1	13	átalag altalag
VCVCV VCVCV	VCVCV	VCVCV	1	15	áporo oporo
VCCV VCVCVC	VCCV	VCVCVC	1	16	apró opuruγ
VCC VCCVC	VCC	VCCVC	1	20	árt ārtat
VCCVC VCCVC	VCCVC	VCCVC	4	21, 167, 232, 361	árkány arkan, érdem erdem, ildom ildam, örmény örmen
VCCVC VCVCVC	VCCVC	VCVCVC	1	24	ártány aritan
VCVC VCCV	VCVC	VCCV	1	25	ászok aski
CVC CVC	CVC	CVC	47	26, 36, 58, 66, 68, 89, 93, 96, 97, 110, 122, 138, 155, 157, 192, 203, 205, 211, 257, 277, 281, 289, 300, 304, 367, 375, 380, 385, 392, 400, 404, 405, 410, 414, 417, 419, 421, 422, 430, 435, 436, 443, 464, 473, 477, 488, 504	báj bay, basz bas, bog bog, bor bor, bur bur, bús buγ, búsz būs, bükk bik, bűn bǖn, csak čak, csécs čëč, csök čük, dől dül, dug dïg, gyász ǰas, gyom ǰom, gyón ǰūn, gyúl ǰul, kar kar, kér kēr, kés kēč, kín kīn, kor kur, kos koč, sár šar, seb šeb, sér šir, sík šik, som čum, süv siγ, szál sal, szám sam, szár sar, szél sēl, szép sip, szer śer, szesz sis, szín sin, szök sek, szűn sön, szűr sür, tar tar, toj tuγ, tót tāt, tőr tȫr, tűr tür, váj vay
CVCCVC CVCCVC	CVCCVC	CVCCVC	24	27, 29, 35, 44, 87, 107, 198, 202, 255, 265, 272, 301, 306, 307, 309, 310, 317, 370, 383, 427, 455, 468, 479, 509	balkány balkan, bálvány balvan, bársony barčun, bercel bersil, börtön berten, cötkény sütken, gyermek ǰärmäk, gyilkos ǰilkuš, kaptány kapkan, karvaly karγay, kender kendir, korhány korγan, ködmön kedmen, ködmen kedmen, kölcsön külčen, köldök kindik, köpcös köpčeγ, sárkány šārkān, serleg šerleg, szongor sonkor, tengely tengel, tolmács tolmač, történ törtün, vendég vendeg
CVCCV CVCCV	CVCCV	CVCCV	11	28, 100, 146, 186, 194, 200, 292, 382, 467, 469, 512	balta balta, cigle čigle, daksi ǰakši, gyapjú ǰapγu, gyënge ǰenge, gyertya ǰarta, koldu koldu, serke širke, toklyó toklu, torma turma, zerge serge
