sc	src	tgt	freq	CogID	forms
a a	a	a	179	1, 2, 3, 7, 11, 12, 17, 20, 23, 24, 25, 26, 27, 28, 29, 31, 34, 35, 36, 37, 39, 40, 49, 52, 55, 56, 61, 62, 69, 71, 73, 74, 92, 94, 105, 110, 111, 112, 115, 117, 118, 120, 121, 129, 132, 133, 134, 143, 149, 153, 154, 176, 183, 184, 185, 186, 187, 188, 190, 191, 192, 200, 201, 207, 221, 222, 232, 237, 243, 244, 245, 254, 255, 256, 257, 259, 261, 263, 264, 265, 266, 267, 295, 299, 301, 305, 326, 331, 336, 337, 338, 339, 347, 367, 368, 369, 371, 372, 373, 374, 386, 390, 401, 402, 403, 406, 409, 410, 412, 426, 428, 438, 439, 440, 441, 443, 444, 445, 446, 447, 448, 462, 463, 468, 469, 472, 483, 485, 504, 505	aγaččï aγači, aldaγ aldaγ, ayan ayan, alačï alač, alma alma, altïlïg altalag, orat orat, artat ārtat, arpa arpa, arïtan aritan, askï aski, bay bay, balkan balkan, balta balta, balvan balvan, bagïn baγin, barum barum, barčun barčun, bas bas, baγatur baγatur, baka baka, bïkaγu bikaγu, bïčak bičak, bïka bika, bolčan bolčan, bolčat bulčat, balturgan balturγan, baka baka, buraγu buraγu, burčaγ burčaγ, basarkan basarkan, busan busan, bular bular, buγδay buγzai, čïgla čigla, čak čak, čakkan čakan, čalïγan čalān, čaltï čalit, čanak čanak, čata čata, čat čat, čatï čati, čïga čïga, čapaγ čapaγ, čolak čolak, čomak čomak, čunaγ čunaγ, darï dara, ǰȧγaγ ǰiγaγ, ǰȧsnaγ ǰisnaγ, kaγδu kaγzu, ǰala ǰala, ǰalïm ǰalum, ǰonaγ ǰonaγ, ǰapaγu ǰapγu, ǰaput ǰaput, ǰarpa ǰarpa, ǰarlïγ ǰarlïγ, ǰarat ǰarat, ǰas ǰas, yarta ǰarta, yartaγan ǰartaγan, ǰïpar ǰïpar, χayїγ hayiγ, χoŋar hangar, ïldam ildam, ïraγ iraγ, kolavuz kalauz, kvaliz kaliz, karlukan karlukan, karamuγ karamuγ, kapkan kapkan, kapuγ kapuγ, kar kar, karakan karakan, karampil karampil, karoγ karoγ, karakotan karakotan, kargay karγay, kataŋ katāng, kazar kazar, kumlaγ kumlaγ, kapurčaγ kopurčaγ, korγan korγan, kasmaγ kasmaγ, kuwan kuwan, munar munar, aγul aγul, učaγ učaγ, oγlaγ oγlaγ, undaγ undaγ, alčuk alčuk, šar šar, šarï šari, šarug šarug, čarlaγ čarlaγ, šarmaγ šarmaγ, čaruγ čaruγ, čatur čatur, šïma šima, čavlï čavli, sagïm sagum, sakaγ sakaγ, sakal sakal, saγïn saγin, sapaγ sapaγ, sar sar, satïγčï satiγči, sav saw, sawur sawur, taltučï taltuči, tanïlč tanilč, tanuγ tanu, taplaγ taplaγ, tar tar, tavar tavar, tarïlaγ tarlaγ, tart tart, tatar tatar, taturgan taturγan, talkïγ talkiγ, tana tana, tolmač tolmač, turma turma, turuntay turuntay, toraγ toraγ, togδak toγzak, vay vay, valaγ valaγ
ɣ ɣ	ɣ	ɣ	108	1, 2, 16, 37, 40, 45, 65, 69, 71, 75, 76, 81, 83, 84, 85, 89, 90, 94, 98, 99, 125, 132, 143, 153, 154, 162, 165, 170, 176, 182, 185, 186, 190, 195, 196, 201, 210, 212, 218, 219, 220, 221, 223, 226, 237, 254, 256, 263, 271, 275, 280, 285, 295, 299, 301, 305, 312, 315, 317, 320, 328, 329, 333, 336, 337, 338, 339, 344, 350, 356, 358, 365, 371, 372, 373, 377, 378, 393, 396, 397, 398, 399, 402, 406, 409, 412, 418, 420, 431, 434, 441, 442, 445, 451, 462, 464, 476, 480, 483, 484, 490, 495, 500, 505, 506	aγaččï aγači, aldaγ aldaγ, opuruγ opuruγ, baγatur baγatur, bïkaγu bikaγu, bürtiγ bürtiγ, boγul boγol, buraγu buraγu, burčaγ burčaγ, bosuγ bosuγ, butїγ butiγ, bäγ beγ, büγtä büγte, büγüči büγüči, belčiγ belčeγ, buγ buγ, bolčuγ bulčuγ, buγδay buγzai, bütüγ bütüγ, büγü büγü, čöpüγ čöpüγ, čapaγ čapaγ, čunaγ čunaγ, ǰȧγaγ ǰiγaγ, ǰȧsnaγ ǰisnaγ, äkäγ ekeγ, inäγ ineγ, äriγ eriγ, kaγδu kaγzu, küsäγü küseγü, ǰonaγ ǰonaγ, ǰapaγu ǰapγu, ǰarlïγ ǰarlïγ, ǰipliγ ǰipliγ, ǰäpiγ ǰepiγ, yartaγan ǰartaγan, ǰäγüz ǰeγüz, ǰuγur ǰuγur, ǰereγ ǰereγ, ǰürüγ ǰürüγ, ǰüγsüγ ǰüγsüγ, χayїγ hayiγ, χїrγuy xirγuy, üdäγ üdeγ, ïraγ iraγ, karamuγ karamuγ, kapuγ kapuγ, karoγ karoγ, kälinčäγ kälinčäγ, käpäγ kepeγ, küčäläγ küčeleγ, kičiγ kičiγ, kumlaγ kumlaγ, kapurčaγ kopurčaγ, korγan korγan, kasmaγ kasmaγ, keliγ keliγ, küńüγ küńüγ, köpčäγ köpčeγ, küpüγ küpüγ, külüläγ külleγ, köligäliγ köligeliγ, učoγ učoγ, aγul aγul, učaγ učaγ, oγlaγ oγlaγ, undaγ undaγ, určuγ určuγ, eliγ eliγ, öγir öγir, äγir eγir, čïγt čaγt, čarlaγ čarlaγ, šarmaγ šarmaγ, čaruγ čaruγ, šipiriγ šipiriγ, čöpräγ čöpreγ, čumluγ šumluγ, šilliγ šilleγ, šiγül šiγül, čiräγ čireγ, siγ siγ, sakaγ sakaγ, saγïn saγin, sapaγ sapaγ, satïγčï satiγči, säpliγ sepleγ, čürüγ sürüγ, čeleγ śeleγ, čiγči śiγči, taplaγ taplaγ, topluγ topluγ, tarïlaγ tarlaγ, täkänäγ tekeneγ, talkïγ talkiγ, tuγ tuγ, töγür tüγür, törüγän türüγen, toraγ toraγ, toγrïl tuγrïl, tiγuk tiγuk, inäγ ineγ, iriγ iriγ, valaγ valaγ, väyśäγ veyseγ
t͡ʃː t͡ʃ	t͡ʃː	t͡ʃ	1	1	aγaččï aγači
ɯ i	ɯ	i	38	1, 24, 25, 31, 40, 49, 52, 54, 72, 76, 105, 121, 130, 221, 223, 224, 232, 234, 236, 237, 238, 296, 346, 368, 385, 386, 390, 406, 412, 423, 438, 439, 462, 492	aγaččï aγači, arïtan aritan, askï aski, bagïn baγin, bïkaγu bikaγu, bïčak bičak, bïka bika, bïrug biruγ, borsï borsi, butїγ butiγ, čïgla čigla, čatï čati, čïgïr čigir, χayїγ hayiγ, χїrγuy xirγuy, χumakï humoki, ïldam ildam, vïm vim, ïr ir, ïraγ iraγ, ïsï isi, kamїčïn kåmičin, orwučï urvoči, šarï šari, šïk šik, šïma šima, čavlï čavli, saγïn saγin, satïγčï satiγči, sïyrum siyrum, taltučï taltuči, tanïlč tanilč, talkïγ talkiγ, urï uri
l l	l	l	91	2, 6, 7, 11, 12, 27, 28, 29, 38, 42, 44, 53, 55, 56, 59, 61, 65, 82, 85, 86, 90, 92, 100, 105, 112, 115, 133, 150, 151, 156, 168, 174, 183, 184, 190, 195, 202, 211, 213, 215, 216, 217, 232, 233, 243, 244, 245, 261, 271, 280, 287, 292, 295, 309, 311, 312, 323, 329, 336, 338, 343, 347, 349, 350, 357, 371, 383, 390, 393, 397, 403, 404, 414, 418, 431, 438, 439, 441, 442, 445, 452, 455, 462, 467, 468, 482, 484, 505, 511	aldaγ aldaγ, al āl, alačï alač, alma alma, altïlïg altalag, balkan balkan, balta balta, balvan balvan, bičil bečel, bäläg beleg, Bärsil bersil, biläčäk bileček, bolčan bolčan, bolčat bulčat, bogul bogul, balturgan balturγan, boγul boγol, bögöläk bögölök, belčiγ belčeγ, bülän belen, bolčuγ bulčuγ, bular bular, čiglä čigle, čïgla čigla, čalïγan čalān, čaltï čalit, čolak čolak, tüli töli, düli döli, dül dül, ärkilč erkelč, ätil etil, ǰala ǰala, ǰalïm ǰalum, ǰarlïγ ǰarlïγ, ǰipliγ ǰipliγ, ǰulkučï ǰilkuš, ǰul ǰul, ǰigil ǰiγil, ǰägilä ǰeγile, ǰemilč ǰemilč, ǰemilčen ǰemilčen, ïldam ildam, il il, kolavuz kalauz, kvaliz kaliz, karlukan karlukan, karampil karampil, kälinčäγ kälinčäγ, küčäläγ küčeleγ, kökärilč kükerilč, koldu koldu, kumlaγ kumlaγ, kölčen külčen, köläk külek, keliγ keliγ, kertweliγ kertβeli, köligäliγ köligeliγ, aγul aγul, oγlaγ oγlaγ, aruslan uruslān, alčuk alčuk, ilt ilt, eliγ eliγ, ävril evril, čarlaγ čarlaγ, širlig šerleg, čavlï čavli, čumluγ šumluγ, šiγül šiγül, sakal sakal, sāl sal, śēl sēl, säpliγ sepleγ, čeleγ śeleγ, taltučï taltuči, tanïlč tanilč, taplaγ taplaγ, topluγ topluγ, tarïlaγ tarlaγ, tilök telük, teŋäl tengel, talkïγ talkiγ, toklu toklu, tolmač tolmač, tokol tukol, toγrïl tuγrïl, valaγ valaγ, vertülük vertelük
d d	d	d	16	2, 149, 151, 156, 157, 167, 177, 226, 232, 272, 292, 306, 310, 339, 493, 509	aldaγ aldaγ, darï dara, düli döli, dül dül, dïg dïg, ärdäm erdem, güdän güden, üdäγ üdeγ, ïldam ildam, kändir kendir, koldu koldu, kädmän kedmen, kindik kindik, undaγ undaγ, edü edü, vändäg vendeg
j j	j	j	11	3, 26, 221, 223, 229, 265, 330, 423, 472, 504, 506	ayan ayan, bay bay, χayїγ hayiγ, χїrγuy xirγuy, äyi äyi, kargay karγay, küväy küvey, sïyrum siyrum, turuntay turuntay, vay vay, väyśäγ veyseγ
n n	n	n	75	3, 24, 27, 29, 31, 35, 47, 55, 61, 73, 74, 86, 87, 97, 111, 112, 117, 141, 143, 154, 165, 169, 177, 179, 185, 193, 201, 205, 208, 217, 228, 245, 255, 259, 264, 271, 272, 273, 282, 288, 289, 296, 301, 306, 308, 309, 310, 319, 325, 326, 331, 332, 339, 343, 351, 353, 354, 364, 370, 406, 411, 416, 422, 435, 439, 440, 448, 451, 463, 472, 475, 479, 480, 495, 509	ayan ayan, arïtan aritan, balkan balkan, balvan balvan, bagïn baγin, barčun barčun, bäčänäg bešeneγ, bolčan bolčan, balturgan balturγan, basarkan basarkan, busan busan, bülän belen, bärtän berten, bǖn bǖn, čakkan čakan, čalïγan čalān, čanak čanak, čikin čükün, čunaγ čunaγ, ǰȧsnaγ ǰisnaγ, inäγ ineγ, ärin erin, güdän güden, gürän güren, ǰonaγ ǰonaγ, ǰekän ǰeken, yartaγan ǰartaγan, ǰūn ǰūn, ǰinǰü ǰinǰü, ǰemilčen ǰemilčen, egän egen, karlukan karlukan, kapkan kapkan, karakan karakan, karakotan karakotan, kälinčäγ kälinčäγ, kändir kendir, kenäšū kenešǖ, kičin kičin, kökärčän kükerčen, kīn kīn, kamїčïn kåmičin, korγan korγan, kädmän kedmen, kökän köken, kölčen külčen, kindik kindik, kepenek kepenek, küsän küsen, kuwan kuwan, munar munar, nögär nöger, undaγ undaγ, aruslan uruslān, ǖn ün, ävirmän eü̯rmen, ärmäni ermeni, özän üzen, šarakan šārkān, saγïn saγin, čaγrïn śārn, sön sön, sin sin, sön sön, tanïlč tanilč, tanuγ tanu, taturgan taturγan, täkänäγ tekeneγ, tana tana, turuntay turuntay, tümän tümen, törütün törtün, törüγän türüγen, inäγ ineγ, vändäg vendeg
a aː	a	aː	11	6, 19, 20, 22, 112, 260, 266, 343, 370, 411	al āl, ar ār, artat ārtat, aruk āruk, čalïγan čalān, koram korām, kataŋ katāng, aruslan uruslān, šarakan šārkān, čaγrïn śārn
t͡ʃ t͡ʃ	t͡ʃ	t͡ʃ	76	7, 35, 38, 49, 53, 55, 56, 70, 71, 84, 85, 90, 100, 105, 110, 111, 112, 115, 117, 118, 120, 121, 123, 124, 125, 129, 130, 132, 133, 134, 138, 139, 140, 141, 142, 143, 144, 145, 168, 172, 216, 217, 269, 271, 280, 281, 282, 285, 287, 288, 296, 299, 304, 309, 317, 321, 333, 337, 344, 346, 347, 365, 371, 373, 374, 378, 381, 390, 398, 412, 434, 438, 439, 468, 503	alačï alač, barčun barčun, bičil bečel, bïčak bičak, biläčäk bileček, bolčan bolčan, bolčat bulčat, burč burč, burčaγ burčaγ, büγüči büγüči, belčiγ belčeγ, bolčuγ bulčuγ, čiglä čigle, čïgla čigla, čak čak, čakkan čakan, čalïγan čalān, čaltï čalit, čanak čanak, čata čata, čat čat, čatï čati, čečäk čëček, čik čik, čöpüγ čöpüγ, čïga čïga, čïgïr čigir, čapaγ čapaγ, čolak čolak, čomak čomak, čükV čük, čök čük, čök čük, čikin čükün, čäwiš čäüš, čunaγ čunaγ, čäwür čevür, čäviri čeviri, ärkilč erkelč, ičkü ičkü, ǰemilč ǰemilč, ǰemilčen ǰemilčen, käčäkä kečeke, kälinčäγ kälinčäγ, küčäläγ küčeleγ, kēč kēč, kičin kičin, kičiγ kičiγ, kökärilč kükerilč, kökärčän kükerčen, kamїčïn kåmičin, kapurčaγ kopurčaγ, koč koč, kölčen külčen, köpčäγ köpčeγ, kevrič kewrič, učoγ učoγ, učaγ učaγ, určuγ určuγ, orwučï urvoči, alčuk alčuk, čïγt čaγt, čarlaγ čarlaγ, čaruγ čaruγ, čatur čatur, čöpräγ čöpreγ, čärig čärig, čavlï čavli, čiräγ čireγ, satïγčï satiγči, čiγči śiγči, taltučï taltuči, tanïlč tanilč, tolmač tolmač, öväč öveč
