sc	src	tgt	freq	CogID	forms
aː a.ɣ.a	aː	a.ɣ.a	4	1, 37, 114, 201	ács aγači, bátor baγatur, csalán čalaγan, gyertyán ǰartaγan
t͡ʃ t͡ʃ	t͡ʃ	t͡ʃ	49	1, 7, 38, 49, 53, 55, 56, 84, 85, 90, 105, 109, 110, 111, 114, 115, 117, 118, 121, 122, 124, 125, 129, 130, 132, 133, 134, 135, 138, 141, 142, 143, 144, 168, 216, 217, 282, 287, 288, 296, 309, 333, 337, 412, 434, 439, 468, 503	ács aγači, alacs alač, bëcsül bečel, bicsak bičak, bilincs bileček, bocsán bolčan, bocsát bulčat, bölcs büγüči, bölcső belčeγ, búcsú bulčuγ, csigolya čigla, csabak čabak, csak čak, csákány čakan, csalán čalaγan, csalit čalit, csanak čanak, csata čata, csat čati, csécs čëč, csekél čik, csepű čöpüγ, csiga čïga, csiger čigir, csipa čapaγ, csolák čolak, csomak čomak, csődör čeü̯dür, csök čük, csököny čükün, csősz čäüš, csúnya čunaγ, csűr čevür, erkölcs erkelč, gyümölcs ǰemilč, gyümölcsény ǰemilčen, kicsiny kičin, kikerics kükerilč, kiköcsény kükerčen, komócsin kåmičin, kölcsön külčen, ocsú učoγ, olcsó učaγ, szatócs satiγči, szűcs śiγči, tanács tanilč, tolmács tolmač, üvecs öveč
- i	-	i	17	1, 25, 72, 84, 94, 121, 150, 151, 197, 224, 323, 346, 354, 412, 434, 438, 492	ács aγači, ászok aski, borz borsi, bölcs büγüči, búza buγzai, csat čati, dél töli, dél döli, gyep ǰepi, homok humoki, körtvély kertβeli, orvos urvoči, örmény ermeni, szatócs satiγči, szűcs śiγči, táltos taltuči, úr uri
aː a.l	aː	a.l	2	2, 13	ágyú aldaγ, átalag altalag
ɟ d	ɟ	d	2	2, 181	ágyú aldaγ, gügyű küdeγü
uː a.ɣ	uː	a.ɣ	3	2, 185, 505	ágyú aldaγ, gyanú ǰonaγ, vályú valaγ
ɒ a	ɒ	a	88	3, 7, 11, 13, 17, 23, 27, 28, 32, 33, 34, 36, 39, 49, 52, 62, 74, 80, 91, 92, 94, 105, 109, 110, 114, 115, 117, 118, 121, 129, 134, 146, 147, 148, 149, 183, 184, 186, 187, 188, 190, 200, 221, 222, 242, 243, 245, 254, 255, 256, 257, 259, 261, 263, 265, 266, 267, 327, 365, 371, 373, 386, 402, 403, 409, 412, 439, 440, 443, 445, 446, 447, 469	ajn ayan, alacs alač, alma alma, átalag altalag, arat orat, árpa arpa, balkány balkan, balta balta, barág barag, bárca bāsa, barom barum, basz bas, béka baka, bicsak bičak, bika bika, boka baka, bosszan busan, boza boza, buga buga, bular bular, búza buγzai, csigolya čigla, csabak čabak, csak čak, csalán čalaγan, csalit čalit, csanak čanak, csata čata, csat čati, csiga čïga, csomak čomak, daksi ǰakši, daku daku, dara dara, dara dara, gyalá ǰala, gyalom ǰalum, gyapjú ǰapγu, gyapot ǰaput, gyarap ǰarpa, gyarló ǰarlïγ, gyertya ǰarta, hajó hayiγ, harang hangar, kalauz kalauz, kalóz kalauz, kalokány karlukan, kanyaró karamuγ, kaptány kapkan, kapu kapuγ, kar kar, karakán karakan, karambél karampil, karó karoγ, karvaly karγay, katáng katāng, kazár kazar, kuvasz kuwaz, sajt čaγt, sarló čarlaγ, saru čaruγ, sima šima, szaka sakaγ, szakáll sakal, szapu sapaγ, szatócs satiγči, tanács tanilč, tanú tanu, tar tar, tarló tarlaγ, tart tart, tatár tatar, torma turma
j j.a	j	j.a	1	3	ajn ayan
n n	n	n	49	3, 31, 55, 61, 74, 87, 97, 114, 117, 154, 165, 185, 201, 205, 208, 228, 252, 259, 264, 271, 272, 273, 289, 296, 297, 306, 307, 309, 325, 326, 331, 339, 343, 351, 364, 406, 415, 422, 435, 439, 440, 448, 451, 463, 472, 475, 479, 495, 509	ajn ayan, bán baγin, bocsán bolčan, bojtorján balturγan, bosszan busan, börtön berten, bűn bǖn, csalán čalaγan, csanak čanak, disznó ǰisnaγ, enő ineγ, gyanú ǰonaγ, gyertyán ǰartaγan, gyón ǰūn, gyöngy ǰinǰü, igen egen, kangyíka kåndʹikå, karakán karakan, kárókaton karakotan, kelengye kälinčäγ, kender kendir, kéneső kenešǖ, kín kīn, komócsin kåmičin, komondor kumandur, ködmön kedmen, ködmen kedmen, kölcsön külčen, köszön küsen, kun kuwan, mónár munar, ondó undaγ, oroszlán uruslān, ön ün, özön üzen, szán saγin, szend sen, szín sin, szűn sön, tanács tanilč, tanú tanu, tátorján taturγan, teknő tekeneγ, tinó tana, torontál turuntay, tömén tümen, történ törtün, ünő ineγ, vendég vendeg
aː aː	aː	aː	11	6, 19, 20, 22, 33, 260, 266, 343, 370, 411	ál āl, ár ār, árt ārtat, árok āruk, bárca bāsa, karám korām, katáng katāng, oroszlán uruslān, sárkány šārkān, szárny śārn
