sc	src	tgt	freq	CogID	forms
VCVCV VCVCV	VCVCV	VCVCV	2	1, 15	aγaččï aγači, opura oporo
VCCVC VCCVC	VCCVC	VCCVC	9	2, 20, 167, 232, 338, 339, 344, 347, 357	aldaγ aldaγ, artat ārtat, ärdäm erdem, ïldam ildam, oγlaγ oγlaγ, undaγ undaγ, určuγ určuγ, alčuk alčuk, ävril evril
VCVC VCVC	VCVC	VCVC	29	3, 17, 22, 162, 165, 169, 170, 174, 225, 226, 228, 231, 237, 333, 336, 337, 342, 348, 350, 352, 355, 356, 358, 364, 495, 498, 500, 501, 503	ayan ayan, orat orat, aruk āruk, äkäγ ekeγ, inäγ ineγ, ärin erin, äriγ eriγ, ätil etil, urok urok, üdäγ üdeγ, egän egen, ikir ikir, ïraγ iraγ, učoγ učoγ, aγul aγul, učaγ učaγ, urus urus, ökür ükür, eliγ eliγ, ävir evir, ürük ürük, öγir öγir, äγir eγir, özän üzen, inäγ ineγ, erim erim, iriγ iriγ, isig isüg, öväč öveč
VC VC	VC	VC	9	6, 14, 19, 166, 173, 233, 236, 334, 351	al āl, op op, ar ār, er er, es es, il il, ïr ir, uk uk, ǖn ün
VCVCV VCVC	VCVCV	VCVC	1	7	alačï alač
VCCV VCCV	VCCV	VCCV	7	11, 23, 25, 172, 345, 496, 497	alma alma, arpa arpa, askï aski, ičkü ičkü, ogru uγru, örgä ürge, örgä ürge
VCCVCVC VCCVCVC	VCCVCVC	VCCVCVC	1	12	altïlïg altalag
VCVCVC VCVCVC	VCVCVC	VCVCVC	2	16, 24	opuruγ opuruγ, arïtan aritan
CVC CVC	CVC	CVC	52	26, 36, 58, 66, 68, 81, 89, 93, 96, 97, 110, 120, 124, 139, 140, 156, 157, 192, 203, 205, 211, 234, 257, 281, 289, 300, 304, 367, 375, 380, 385, 399, 404, 405, 410, 414, 416, 417, 419, 421, 422, 426, 429, 435, 436, 443, 459, 464, 473, 477, 488, 504	bay bay, bas bas, bog bog, bor bor, bur bur, bäγ beγ, buγ buγ, būs būs, bik bik, bǖn bǖn, čak čak, čat čat, čik čik, čök čük, čök čük, dül dül, dïg dïg, ǰas ǰas, ǰom ǰom, ǰūn ǰūn, ǰul ǰul, vïm vim, kar kar, kēč kēč, kīn kīn, kur kur, koč koč, šar šar, šip šeb, šir šir, šïk šik, siγ siγ, sāl sal, sām sam, sar sar, śēl sēl, sön sön, sip sip, čer śer, sis sis, sin sin, sav saw, sek sek, sön sön, sür sür, tar tar, tīr tīr, tuγ tuγ, tāt tāt, tȫr tȫr, tör tür, vay vay
CVCCVC CVCCVC	CVCCVC	CVCCVC	44	27, 29, 35, 44, 45, 55, 56, 71, 85, 87, 90, 154, 190, 195, 198, 220, 223, 255, 265, 272, 295, 301, 305, 306, 309, 310, 317, 321, 371, 372, 378, 383, 393, 418, 423, 427, 441, 442, 462, 468, 484, 485, 506, 509	balkan balkan, balvan balvan, barčun barčun, Bärsil bersil, bürtiγ bürtiγ, bolčan bolčan, bolčat bulčat, burčaγ burčaγ, belčiγ belčeγ, bärtän berten, bolčuγ bulčuγ, ǰȧsnaγ ǰisnaγ, ǰarlïγ ǰarlïγ, ǰipliγ ǰipliγ, ǰärmäk ǰärmäk, ǰüγsüγ ǰüγsüγ, χїrγuy xirγuy, kapkan kapkan, kargay karγay, kändir kendir, kumlaγ kumlaγ, korγan korγan, kasmaγ kasmaγ, kädmän kedmen, kölčen külčen, kindik kindik, köpčäγ köpčeγ, kevrič kewrič, čarlaγ čarlaγ, šarmaγ šarmaγ, čöpräγ čöpreγ, širlig šerleg, čumluγ šumluγ, säpliγ sepleγ, sïyrum siyrum, soŋkur sonkor, taplaγ taplaγ, topluγ topluγ, talkïγ talkiγ, tolmač tolmač, toγrïl tuγrïl, togδak toγzak, väyśäγ veyseγ, vändäg vendeg
